"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"COUNTRY MONTESSORI SCHOOL","","","",NA,NA,"A9100724"
"COUNTRY SCHOOL- THE","","","",NA,NA,"A1300196"
"DEL MAR HILLS NURSERY SCHOOL","","","",NA,NA,"K9300437"
"DEL MAR MONTESSORI","","","",NA,NA,"A1300204"
"DEL MAR PINES SCHOOL","","","",NA,NA,"01899977"
"DIEGUENO COUNTRY SCHOOL","","","",NA,NA,"02011859"
"DISCOVERY ISLE","","","",NA,NA,"A0700320"
"DISCOVERY ISLE CHILD DEVELOPMENT CENTER","","","",NA,NA,"BB020479"
"DUNAMIS ACADEMY & DUNAMIS LEARNING CENTER","","","",NA,NA,"BB020505"
"EASTLAKE CHURCH CHILDREN CENTER","","","",NA,NA,"A0770332"
"EDISON ACADEMY","","","",NA,NA,"A9302148"
"EL CAJON SEVENTH-DAY ADVENTIST CHRISTIAN SCHOOL","","","",NA,NA,"00095106"
"ESCONDIDO ADVENTIST ACADEMY","","","",NA,NA,"00095139"
"ESCONDIDO CHRISTIAN SCHOOL","","","",NA,NA,"00085936"
"EXCELSIOR ACADEMY","","","",NA,NA,"A9500435"
"FAITH LUTHERAN SCHOOL","","","",NA,NA,"02011881"
"FAITHFUL AMBASSADORS BIBLE","","","",NA,NA,"A9900379"
"FOOTHILLS CHRISTIAN ELEMENTARY SCHOOL","","","",NA,NA,"A9700702"
"FOOTHILLS CHRISTIAN HIGH SCHOOL","","","",NA,NA,"A0101354"
"FRED FINCH YOUTH CENTER","","","",NA,NA,"A9100838"
"FUTURES ACADEMY - SAN DIEGO","","","",NA,NA,"A1300255"
"GOOD SHEPHERD CATHOLIC SCHOOL","","","",NA,NA,"01922192"
"GRACE LUTHERAN CHURCH & SCHOOLS","","","",NA,NA,"00082505"
"GREEN HILLS LEARNING CENTER","","","",NA,NA,"A0307162"
"HEARTLAND CHRISTIAN","","","",NA,NA,"BB980200"
"HIGH BLUFF ACADEMY","","","",NA,NA,"A1300262"
"HOLY FAMILY SCHOOL","","","",NA,NA,"00077335"
"HORIZON CHRISTIAN ACADEMY","","","",NA,NA,"A1500332"
"HORIZON CHRISTIAN ACADEMY PK-12","","","",NA,NA,"A9300107"
"HORIZON PREP","","","",NA,NA,"A0307172"
"KINDERHOUSE MONTESSORI SCHOOL","","","",NA,NA,"A0300341"
"KINGS ACADEMY","","","",NA,NA,"A9900362"
"LA COSTA VALLEY PRESCHOOL & KINDERGARTEN","","","",NA,NA,"K9300435"
"LA JOLLA COUNTRY DAY SCHOOL","","","",NA,NA,"00083462"
"LA MESA CHRISTIAN SCHOOL","","","",NA,NA,"00087591"
"LA PETITE ACADEMY","","","",NA,NA,"BB946502"
"LA PETITE ECOLE / ENGLISH FRENCH LEARNING ACADEMY","","","",NA,NA,"A0790017"
"LEARNING ACADEMY","","","",NA,NA,"A0900387"
"LEPORT SCHOOL - CARLSBAD VILLAGE","","","",NA,NA,"A1500367"
"LIFETIME MONTESSORI","","","",NA,NA,"A1100226"
"LIGHTHOUSE CHRISTIAN ACADEMY","","","",NA,NA,"A9500576"
"LUTHERAN HIGH SCHOOL OF SAN DIEGO","","","",NA,NA,"A9700524"
"MARIA MONTESSORI ELEMENTARY SCHOOL","","","",NA,NA,"00088722"
"MATER DEI CATHOLIC HIGH SCHOOL","","","",NA,NA,"A0900415"
"MIRA MESA CHRISTIAN SCHOOL","","","",NA,NA,"01900066"
"MISSION BAY MONTESSORI ACADEMY","","","",NA,NA,"00088438"
"MONTESSORI ACADEMY","","","",NA,NA,"A1392007"
"MONTESSORI ACHIEVEMENT CENTRE","","","",NA,NA,"BB980196"
"MONTESSORI AMERICAN SCHOOL","","","",NA,NA,"K9300427"
"MONTESSORI CHILD DEVELOPMENT CENTER","","","",NA,NA,"02011611"
"MONTESSORI CHILDREN'S HOUSE","","","",NA,NA,"02011837"
"MONTESSORI CHILDRENS HOUSE","","","",NA,NA,"BB020458"
"MONTESSORI EXPLORER ELEMENTARY","","","",NA,NA,"A1192016"
"MONTESSORI HILLS ACADEMY","","","",NA,NA,"A9500339"
"MONTESSORI INSTITUTE OF SAN DIEGO CHILD HOUSE","","","",NA,NA,"A1300317"
"MONTESSORI LEARNING CENTER","","","",NA,NA,"BB946401"
"MONTESSORI SCHOOL OF OCEANSIDE","","","",NA,NA,"A0101120"
"MONTESSORI SCHOOL OF OCEANSIDE # 2","","","",NA,NA,"A0900426"
"MONTESSORI SCHOOL OF SAN DIEGO","","","",NA,NA,"00088711"
"MT ERIE CHRISTIAN ACADEMY","","","",NA,NA,"A9101132"
"MT HELIX ACADEMY - TIEE","","","",NA,NA,"02158734"
"NATIVITY PREP ACADEMY","","","",NA,NA,"BB020502"
"NAZARETH SCHOOL","","","",NA,NA,"00077175"
"NEW BRIDGE SCHOOL","","","",NA,NA,"BB020415"
"OCEAN VIEW CHRISTIAN ACADEMY","","","",NA,NA,"01900055"
"OCEANSIDE ADVENTIST ELEMENTARY","","","",NA,NA,"A9700566"
"OLD MISSION MONTESSORI SCHOOL","","","",NA,NA,"01922206"
"OUR LADY OF GRACE ELEMENTARY SCHOOL","","","",NA,NA,"00076852"
"OUR LADY OF MT. CARMEL","","","",NA,NA,"A1500440"
"OUR LADY OF THE SACRED HEART SCHOOL","","","",NA,NA,"00077186"
"OUR LADYS SCHOOL","","","",NA,NA,"00076932"
"PACIFIC ACADEMY","","","",NA,NA,"A9900583"
"PACIFIC INDEPENDENT EDUCATION","","","",NA,NA,"A1500445"
"PACIFIC RIDGE SCHOOL","","","",NA,NA,"A0900468"
"PEPPER VALLEY LEARNING CENTER","","","",NA,NA,"E9406985"
"PEPPERTREE MONTESSORI","","","",NA,NA,"A0792007"
"PILGRIM LUTHERAN SCHOOL","","","",NA,NA,"00082491"
"PIONEER DAY SCHOOL","","","",NA,NA,"A1300363"
"RAMONA LUTHERAN SCHOOL","","","",NA,NA,"A9101274"
"RANCHO ENCINITAS ACADEMY","","","",NA,NA,"A9700587"
