site,altnames,sponsor,district,is_school,schoolcode,districtcode
CORONADO MIDDLE,CORONADO MIDDLE,CORONADO UNIFIED,CORONADO UNIFIED,TRUE,6059570,68031
CORONADO PATHWAYS CHARTER,CORONADO PATHWAYS CHARTER,,CORONADO UNIFIED,TRUE,126110,68031
CORONADO VILLAGE ELEMENTARY,CORONADO VILLAGE ELEMENTARY,CORONADO UNIFIED,CORONADO UNIFIED,TRUE,6038053,68031
CORREIA MIDDLE,CORREIA MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059596,68338
COTTONWOOD COMMUNITY DAY,COTTONWOOD COMMUNITY DAY,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,3731080,68213
COUNTY COLLABORATIVE CHARTER,COUNTY COLLABORATIVE CHARTER,,MOUNTAIN EMPIRE UNIFIED,TRUE,129668,68213
CRAWFORD HIGH,CRAWFORD HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,107177,68338
CREATIVE PERFORMING AND MEDIA ARTS,"CREATIVE PERFORMING AND MEDIA ARTS, CREATIVE, PERFORMING, AND MEDIA ARTS",SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3731551,68338
CREEKSIDE EARLY LEARNING CENTER,CREEKSIDE EARLY LEARNING CENTER,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE,6118723,67967
CREEKSIDE ELEMENTARY,CREEKSIDE ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6117469,68296
CREST ELEMENTARY,CREST ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037600,67991
CROWN POINT ELEMENTARY,CROWN POINT ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039424,68338
CTEC INDEPENDENT STUDY,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,FALSE,,
CUBBERLEY ELEMENTARY,CUBBERLEY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039432,68338
CURIE ELEMENTARY,CURIE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039440,68338
CUYAMACHA PREP COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
DAILARD ELEMENTARY,DAILARD ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6096879,68338
DANA,DANA,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059604,68338
DARNALL CHARTER,DARNALL CHARTER,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039457,68338
DAVILA DAY,DAVILA DAY,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,120485,10371
DE PORTOLA MIDDLE,DE PORTOLA MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6106181,68338
DEER CANYON ELEMENTARY,DEER CANYON ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6109300,68296
DEHESA CHARTER,DEHESA CHARTER,,DEHESA ELEMENTARY,TRUE,6119564,68049
DEHESA ELEMENTARY,DEHESA ELEMENTARY,DEHESA ELEMENTARY,DEHESA ELEMENTARY,TRUE,6038095,68049
DEL DIOS ACADEMY OF ARTS AND SCIENCES,DEL DIOS ACADEMY OF ARTS AND SCIENCES,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038194,68098
DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,TRUE,127241,68106
DEL MAR HEIGHTS ELEMENTARY,DEL MAR HEIGHTS ELEMENTARY,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE,6038111,68056
DEL MAR HILLS ELEMENTARY,DEL MAR HILLS ELEMENTARY,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE,6088983,68056
DEL NORTE HIGH,DEL NORTE HIGH,POWAY UNIFIED,POWAY UNIFIED,TRUE,118935,68296
DEL RIO ELEMENTARY,DEL RIO ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6088991,73569
DEL SUR ELEMENTARY,DEL SUR ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,116475,68296
DESCANSO ELEMENTARY,DESCANSO ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,6038699,68213
DESIGN 39 CAMPUS,DESIGN 39 CAMPUS,POWAY UNIFIED,POWAY UNIFIED,TRUE,129056,68296
DEWEY CDC,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,,
DEWEY ELEMENTARY,DEWEY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039481,68338
DIEGO HILLS CENTRAL PUBLIC CHARTER,DIEGO HILLS CENTRAL PUBLIC CHARTER,,DEHESA ELEMENTARY,TRUE,136614,68049
DIEGO HILLS CHARTER,DIEGO HILLS CHARTER,,DEHESA ELEMENTARY,TRUE,119990,68049
DIEGO SPRINGS ACADEMY,DIEGO SPRINGS ACADEMY,,BORREGO SPRINGS UNIFIED,TRUE,131144,67983
DIEGO VALLEY CHARTER,DIEGO VALLEY CHARTER,,JULIAN UNION ELEMENTARY,TRUE,124271,68163
DIEGO VALLEY EAST PUBLIC CHARTER,DIEGO VALLEY EAST PUBLIC CHARTER,,JULIAN UNION ELEMENTARY,TRUE,137109,68163
DIEGUENO MIDDLE,DIEGUENO MIDDLE,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,6104749,68346
DIMENSIONS COLLABORATIVE,DIMENSIONS COLLABORATIVE,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,137752,10371
DINGEMAN ELEMENTARY,DINGEMAN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6112726,68338
DISCOVERY CHARTER,DISCOVERY CHARTER,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6111322,68023
DISCOVERY ELEMENTARY,DISCOVERY ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6114169,73791
DISTRICT OFFICE,DISTRICT OFFICE,,POWAY UNIFIED,FALSE,0,68296
DISTRICT OFFICE,DISTRICT OFFICE,,SWEETWATER UNION HIGH,FALSE,0,68411
DISTRICT OFFICE,DISTRICT OFFICE,,LEMON GROVE,FALSE,0,68205
DISTRICT OFFICE,DISTRICT OFFICE,,LA MESA-SPRING VALLEY,FALSE,0,68197
DISTRICT OFFICE,DISTRICT OFFICE,,DEHESA ELEMENTARY,FALSE,0,68049
DITMAR ELEMENTARY,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,,
DOUBLE PEAK,DOUBLE PEAK,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,131433,73791
DOYLE ELEMENTARY,DOYLE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6099055,68338
E. G. GARRISON ELEMENTARY,E. G. GARRISON ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6069108,73569
E3 CIVIC HIGH,E3 CIVIC HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,127647,68338
EARL WARREN MIDDLE,EARL WARREN MIDDLE,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,6061998,68346
EAST COUNTY COMMUNITY SCHOOL,,GROSSMONT UNION HIGH,,TRUE,,
EAST COUNTY COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
EAST MESA JUVENILE DETENTION FACILITY,,SAN DIEGO CO PROBATION DEPT,,FALSE,,
EAST HILLS ACADEMY,EAST HILLS ACADEMY,,SWEETWATER UNION HIGH,TRUE,115873,68411
EAST VILLAGE HIGH,EAST VILLAGE HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,118315,68338
EASTLAKE ELEMENTARY,EASTLAKE ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6108492,68023
EASTLAKE HIGH,EASTLAKE HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3730843,68411
EASTLAKE MIDDLE,EASTLAKE MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6120968,68411
ECDC/CROWN PRESCHOOL,,CORONADO UNIFIED,CORONADO UNIFIED,TRUE,,
EDISON ELEMENTARY,EDISON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039499,68338
EINSTEIN ACADEMY,EINSTEIN ACADEMY,,SAN DIEGO UNIFIED,TRUE,6120935,68338
EJE ELEMENTARY ACADEMY CHARTER,EJE ELEMENTARY ACADEMY CHARTER,EJE ACADEMIES,CAJON VALLEY UNION,TRUE,108563,67991
EJE MIDDLE ACADEMY,EJE MIDDLE ACADEMY,EJE ACADEMIES,CAJON VALLEY UNION,TRUE,119255,67991
EL CAJON VALLEY HIGH,EL CAJON VALLEY HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3731692,68130
EL CAMINO CREEK ELEMENTARY,EL CAMINO CREEK ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6117709,68080
EL CAMINO HIGH,EL CAMINO HIGH,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,3739018,73569
EL CAPITAN HIGH,EL CAPITAN HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3731809,68130
EL TOYON ELEMENTARY,EL TOYON ELEMENTARY,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038749,68221
ELEVATE ELEMENTARY,ELEVATE ELEMENTARY,,SAN DIEGO UNIFIED,TRUE,129395,68338
ELITE ACADEMIC ACADEMY - MOUNTAIN EMPIRE,ELITE ACADEMIC ACADEMY - MOUNTAIN EMPIRE,,MOUNTAIN EMPIRE UNIFIED,TRUE,136978,68213
ELITE ACADEMY,ELITE ACADEMY,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3731486,68130
EMERALD MIDDLE,EMERALD MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037626,67991
EMERSON/BANDINI ELEMENTARY,"EMERSON/BANDINI ELEMENTARY, BANDINI ELEMENTARY",SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039507,68338
EMORY ELEMENTARY,EMORY ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040489,68395
EMPOWER,EMPOWER,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,136176,67991
EMPOWER CHARTER,EMPOWER CHARTER,EMPOWER CHARTER SCHOOL,SAN DIEGO UNIFIED,TRUE,129387,68338
EMPRESA ELEMENTARY,EMPRESA ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6108708,68452
ENCANTO ELEMENTARY,ENCANTO ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039515,68338
ENDEAVOUR ACADEMY,ENDEAVOUR ACADEMY,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",ALPINE UNION ELEMENTARY,TRUE,128595,67967
ENRIQUE S. CAMARENA,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,,
EPIPHANY PREP CHARTER,EPIPHANY PREP CHARTER,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,133991,68098
EPIPHANY PREP CHARTER,EPIPHANY PREP CHARTER,EPIPHANY PREP SCHOOL OF SAN DIEGO,SAN DIEGO UNIFIED,TRUE,126151,68338
ERICSON ELEMENTARY,ERICSON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6089015,68338
ESCONDIDO COMMUNITY BLENDED,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
ESCONDIDO CHARTER HIGH,ESCONDIDO CHARTER HIGH,,ESCONDIDO UNION HIGH,TRUE,3731023,68106
ESCONDIDO COMMUNITY DAY,ESCONDIDO COMMUNITY DAY,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,TRUE,123430,68106
ESCONDIDO HIGH,ESCONDIDO HIGH,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,TRUE,3732062,68106
EUCALYPTUS HILLS ELEMENTARY,EUCALYPTUS HILLS ELEMENTARY,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,129288,68189
EUCLID CDC,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,FALSE,,
EUCLID ELEMENTARY,EUCLID ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039523,68338
EVANGELINE ROBERTS INSTITUTE OF LEARNING,EVANGELINE ROBERTS INSTITUTE OF LEARNING,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,121145,68338
EXCELSIOR ACADEMY,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,,
EXPLORER ELEMENTARY,EXPLORER ELEMENTARY,,SAN DIEGO UNIFIED,TRUE,6117683,68338
FALLBROOK HIGH,FALLBROOK HIGH,FALLBROOK UNION HIGH,FALLBROOK UNION HIGH,TRUE,3732179,68122
FALLBROOK HOMESCHOOL ACADEMY,FALLBROOK HOMESCHOOL ACADEMY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6096911,68114
FALLBROOK STEM ACADEMY,FALLBROOK STEM ACADEMY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6038285,68114
FALLBROOK STREET ELEMENTARY,FALLBROOK STREET ELEMENTARY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6038285,68114
FARB MIDDLE,FARB MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6099063,68338
FARR AVENUE ELEMENTARY,FARR AVENUE ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,102608,68098
FAY ELEMENTARY,FAY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039762,68338
FEASTER (MAE L.) CHARTER,FEASTER (MAE L.) CHARTER,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037956,68023
FELICITA ELEMENTARY,FELICITA ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038202,68098
FELICITA PRESCHOOL,,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,,
FIELD ELEMENTARY,FIELD ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039556,68338
FINNEY (MYRTLE S.) ELEMENTARY,FINNEY (MYRTLE S.) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037964,68023
FIRST AVENUE LITERACY COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
FIRST STEP TREATMENT HOME,,CENTER FOR POSITIVE CHANGES INC.,,FALSE,,
FLETCHER CDC,,SAN DIEGO UNIFIED,,FALSE,,
FLETCHER ELEMENTARY,FLETCHER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039564,68338
FLETCHER HILLS ELEMENTARY,FLETCHER HILLS ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038442,68197
FLORA VISTA ELEMENTARY,FLORA VISTA ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6099402,68080
FLORENCE ELEMENTARY,FLORENCE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039572,68338
FLYING HILLS ELEMENTARY,FLYING HILLS ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037634,67991
FOOTHILL OAK ELEMENTARY,FOOTHILL OAK ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,105882,68452
FOOTHILLS HIGH,FOOTHILLS HIGH,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,3730793,73791
FOSTER ELEMENTARY,FOSTER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039598,68338
FRANKLIN ELEMENTARY,FRANKLIN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039606,68338
FREESE ELEMENTARY,FREESE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039614,68338
FUERTE ELEMENTARY,FUERTE ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037642,67991
FULTON K-8,FULTON K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039630,68338
FUTURE BOUND INDEPENDENT STUDY SECONDARY,FUTURE BOUND INDEPENDENT STUDY SECONDARY,,RAMONA CITY UNIFIED,TRUE,102178,68304
GAGE ELEMENTARY,GAGE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039648,68338
GARDEN ROAD ELEMENTARY,GARDEN ROAD ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6038970,68296
GARFIELD CDC,,SAN DIEGO UNIFIED,,FALSE,,
GARFIELD ELEMENTARY,GARFIELD ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039655,68338
GARFIELD HIGH,GARFIELD HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3737962,68338
GEORGE NICOLOFF ELEMENTARY,GEORGE NICOLOFF ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6098487,68395
GIRLS REHABILITATION,,SAN DIEGO CO PROBATION DEPT,,,,
GLEN VIEW ELEMENTARY,GLEN VIEW ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038939,68098
GLEN VIEW PRESCHOOL,,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,,
GODFREY G. BERRY ELEMENTARY,GODFREY G. BERRY ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6067029,68395
GOLDEN HILL K-8,GOLDEN HILL K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,108266,68338
GOMPERS PREPARATORY ACADEMY,GOMPERS PREPARATORY ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,119610,68338
GOOD SHEPHERD CATHOLIC SCHOOL,,GOOD SHEPHERD CATHOLIC SCHOOL,,TRUE,,
GRANGER JUNIOR HIGH,GRANGER JUNIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059778,68411
GRANITE HILLS HIGH,GRANITE HILLS HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3732336,68130
GRANT K-8,GRANT K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039671,68338
GRAPEVINE ELEMENTARY,GRAPEVINE ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6040620,68452
GRAVES SUMMIT SCHOOL,,GROSSMONT UNION HIGH,,TRUE,,
GREATER SAN DIEGO ACADEMY,GREATER SAN DIEGO ACADEMY,,JAMUL-DULZURA UNION ELEMENTARY,TRUE,6117303,68155
GREEN ELEMENTARY,GREEN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039697,68338
GREENFIELD MIDDLE,GREENFIELD MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037659,67991
GREENTREE-ANNEX,,SAN DIEGO UNIFIED,,TRUE,,
GROSSMONT HIGH,GROSSMONT HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3732625,68130
GROSSMONT MIDDLE COLLEGE HIGH,GROSSMONT MIDDLE COLLEGE HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3731536,68130
GROSSMONT SECONDARY,GROSSMONT SECONDARY,,SBE - GROSSMONT SECONDARY,TRUE,136077,77099
GUAJOME LEARNING CENTER,GUAJOME LEARNING CENTER,GUAJOME PARK ACADEMY INC,VISTA UNIFIED,TRUE,124917,68452
GUAJOME PARK ACADEMY CHARTER,GUAJOME PARK ACADEMY CHARTER,GUAJOME PARK ACADEMY INC,VISTA UNIFIED,TRUE,3730942,68452
HAGE ELEMENTARY,HAGE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6109599,68338
HALECREST ELEMENTARY,HALECREST ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037865,68023
HAMILTON ELEMENTARY,HAMILTON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039705,68338
HANCOCK ELEMENTARY,HANCOCK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6096051,68338
HANNALEI ELEMENTARY,HANNALEI ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,100933,68452
HANSON ELEMENTARY,HANSON ELEMENTARY,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,6039028,68304
HARBOR SPRINGS CHARTER,HARBOR SPRINGS CHARTER,,JULIAN UNION ELEMENTARY,TRUE,128421,68163
HARBORSIDE ELEMENTARY,HARBORSIDE ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037873,68023
HARDY ELEMENTARY,HARDY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039713,68338
HARRIET TUBMAN VILLAGE CHARTER,HARRIET TUBMAN VILLAGE CHARTER,"SAN DIEGO UNIFIED, HARRIET TUBMAN VILLAGE CHARTER SCHOOL, INC.",SAN DIEGO UNIFIED,TRUE,6040018,68338
HAWKING S.T.E.A.M. CHARTER,HAWKING S.T.E.A.M. CHARTER,"HAWKING STEAM CHARTER SCHOOLS, INC.",SWEETWATER UNION HIGH,TRUE,126086,68411
HAWKING S.T.E.A.M. CHARTER SCHOOL 2,HAWKING S.T.E.A.M. CHARTER SCHOOL ,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,128082,68411
HAWTHORNE CDC,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,FALSE,,
HAWTHORNE ELEMENTARY,HAWTHORNE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039721,68338
HEALTH SCIENCES HIGH,HEALTH SCIENCES HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,114462,68338
HEALTH SCIENCES MIDDLE,HEALTH SCIENCES MIDDLE,,SAN DIEGO UNIFIED,TRUE,128066,68338
HEARST ELEMENTARY,HEARST ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039739,68338
HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,101592,68023
HELIX HIGH,HELIX HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3732732,68130
HENRY HIGH,HENRY HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3732781,68338
HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,,ESCONDIDO UNION,TRUE,128769,68098
HERITAGE ELEMENTARY,HERITAGE ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6118970,68023
HERITAGE K-8 CHARTER,HERITAGE K-8 CHARTER,,ESCONDIDO UNION,TRUE,101535,68098
HICKMAN ELEMENTARY,HICKMAN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6089023,68338
HIDDEN VALLEY MIDDLE,HIDDEN VALLEY MIDDLE,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6093215,68098
HIGH TECH ELEMENTARY,HIGH TECH ELEMENTARY,"SAN DIEGO UNIFIED, HIGH TECH HIGH CHARTER SCHOOL",SAN DIEGO UNIFIED,TRUE,131565,68338
HIGH TECH ELEMENTARY CHULA VISTA,HIGH TECH ELEMENTARY CHULA VISTA,HIGH TECH HIGH CHARTER SCHOOL,SBC - HIGH TECH HIGH,TRUE,123059,76471
HIGH TECH ELEMENTARY EXPLORER,HIGH TECH ELEMENTARY EXPLORER,"EXPLORER ELEMENTARY CHARTER SCHOOL, EXPLORER ELEMENTARY CHARTER SCHOOL",SAN DIEGO UNIFIED,TRUE,6117683,68338
HIGH TECH ELEMENTARY NORTH COUNTY,HIGH TECH ELEMENTARY NORTH COUNTY,"SAN MARCOS UNIFIED, HIGH TECH HIGH CHARTER SCHOOL",SBC - HIGH TECH HIGH,TRUE,127605,76471
HIGH TECH HIGH,"HIGH TECH HIGH, HIGH TECH HIGH -ANNEX",SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3731247,68338
HIGH TECH HIGH INTERNATIONAL,HIGH TECH HIGH INTERNATIONAL,,SAN DIEGO UNIFIED,TRUE,106732,68338
HIGH TECH HIGH MEDIA ARTS,HIGH TECH HIGH MEDIA ARTS,,SAN DIEGO UNIFIED,TRUE,108787,68338
HIGH TECH HIGH MESA,HIGH TECH HIGH MESA,HIGH TECH HIGH CHARTER SCHOOL,SBC - HIGH TECH HIGH,TRUE,137067,76471
HIGH TECH HIGH NORTH COUNTY,HIGH TECH HIGH NORTH COUNTY,,SBC - HIGH TECH HIGH,TRUE,114694,76471
HIGH TECH MIDDLE,HIGH TECH MIDDLE,HIGH TECH HIGH CHARTER SCHOOL,SAN DIEGO UNIFIED,TRUE,101204,68338
HIGH TECH MIDDLE CHULA VISTA,HIGH TECH MIDDLE CHULA VISTA,SOUTH BAY UNION,SBC - HIGH TECH HIGH,TRUE,123042,76471
HIGH TECH MIDDLE MEDIA ARTS,HIGH TECH MIDDLE MEDIA ARTS,EXPLORER ELEMENTARY CHARTER SCHOOL,SAN DIEGO UNIFIED,TRUE,107573,68338
HIGH TECH MIDDLE NORTH COUNTY,HIGH TECH MIDDLE NORTH COUNTY,"SAN MARCOS UNIFIED, HIGH TECH HIGH CHARTER SCHOOL",SBC - HIGH TECH HIGH,TRUE,119271,76471
HIGHLAND RANCH ELEMENTARY,HIGHLAND RANCH ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6110886,68296
HIGHLANDS ELEMENTARY,HIGHLANDS ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038459,68197
HILL CREEK ELEMENTARY,HILL CREEK ELEMENTARY,SANTEE,SANTEE,TRUE,6085161,68361
HILLSDALE MIDDLE,HILLSDALE MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6112890,67991
HILLSIDE JUNIOR/SENIOR HIGH,HILLSIDE JUNIOR/SENIOR HIGH,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,3730991,68213
