County,Claim Month_Yr,ProgramCode,Year,Sponsor Name,Meals Type,SiteQty,DaysServedQty,Meals Served,Avg Daily Meals
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_SNACK_PM,1,23,723,31.4348
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_BREAKFAST,1,21,2382,113.4286
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_LUNCH,1,21,2425,115.4762
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_SNACK_PM,1,21,1266,60.2857
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_BREAKFAST,1,21,956,45.5238
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_LUNCH,1,21,1072,51.0476
SAN DIEGO,Sep 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_SNACK_PM,1,21,683,32.5238
SAN DIEGO,Sep 2016,CACF,2016,Warner Unified School District,CHILD_SNACK_PM,1,22,132,6
SAN DIEGO,Aug 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_BREAKFAST,1,23,1684,73.2174
SAN DIEGO,Aug 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_LUNCH,1,23,1937,84.2174
SAN DIEGO,Aug 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_SNACK_PM,1,23,99,4.3043
SAN DIEGO,Sep 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_BREAKFAST,1,21,1659,79
SAN DIEGO,Sep 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_LUNCH,1,21,1784,84.9524
SAN DIEGO,Sep 2016,CACF,2016,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_SNACK_PM,1,21,99,4.7143
SAN DIEGO,Aug 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_BREAKFAST,1,31,699,22.5484
SAN DIEGO,Aug 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_SNACK_PM,1,31,360,11.6129
SAN DIEGO,Aug 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_SUPPER,1,31,669,21.5806
SAN DIEGO,Sep 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_BREAKFAST,1,30,610,20.3333
SAN DIEGO,Sep 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_SNACK_PM,1,30,416,13.8667
SAN DIEGO,Sep 2016,CACF,2016,YWCA OF SAN DIEGO COUNTY,ES_CHILD_SUPPER,1,30,652,21.7333
