site_id,new_id,sitename,district
3877,1211,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 2) - URBAN SKIL,
3881,1212,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 3) - COOK EDUCA,
5365,1213,THE LEARNING CHOICE ACADEMY - EAST COUNTY,GROSSMONT UNION HIGH
3889,1214,THE O'FARRELL CHARTER,SAN DIEGO UNIFIED
3893,1215,THRIVE PUBLIC,SBE - THRIVE PUBLIC
3901,1216,THRIVE PUBLIC SCHOOLS - COMSTOCK CAMPUS - ANNEX,
3905,1217,THRIVE PUBLIC SCHOOLS - HIGH SCHOOL,
3909,1218,THRIVE PUBLIC SCHOOLS - JUANITA CAMPUS-ANNEX,
3913,1219,THRIVE PUBLIC SCHOOLS - KROC CAMPUS-ANNEX,
3917,1220,THURGOOD MARSHALL COMMUNITY SCHOOL,
3921,1221,TIERRA BONITA ELEMENTARY,POWAY UNIFIED
3925,1222,TIERRA DEL SOL MIDDLE,LAKESIDE UNION ELEMENTARY
3929,1223,TIERRASANTA CHARTER-ANNEX,
3933,1224,TIERRASANTA ELEMENTARY,SAN DIEGO UNIFIED
5041,1225,TIERRASANTA PARK & REC,
3937,1226,TIFFANY (BURTON C.) ELEMENTARY,CHULA VISTA ELEMENTARY
3945,1227,TOLER ELEMENTARY,SAN DIEGO UNIFIED
3941,1228,TOP BLENDED,
3949,1229,TORREY HILLS,DEL MAR UNION ELEMENTARY
5193,1230,TORREY LEARNING CENTER,
3953,1231,TORREY PINES ELEMENTARY,SAN DIEGO UNIFIED
3957,1232,TORREY PINES HIGH,SAN DIEGUITO UNION HIGH
3961,1233,TRACE,SAN DIEGO UNIFIED
5369,1234,TRUST BLENDED LEARNING,LA MESA-SPRING VALLEY
3965,1235,TURTLEBACK ELEMENTARY,POWAY UNIFIED
3969,1236,TWAIN HIGH,SAN DIEGO UNIFIED
3973,1237,TWIN OAKS ELEMENTARY,SAN MARCOS UNIFIED
3977,1238,TWIN OAKS HIGH,SAN MARCOS UNIFIED
3981,1239,TWIN PEAKS MIDDLE,POWAY UNIFIED
4473,1240,UMI LEARNING CENTER,
3985,1241,UNIVERSITY CITY HIGH,SAN DIEGO UNIFIED
3993,1242,UNIVERSITY COMMUNITY SCHOOL,
5125,1243,UNIVERSITY OF SAN DIEGO STUDENT SUPPORT SERVICES BRIDGE,
5129,1244,UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND,
3989,1245,UNIVERSITY PREP,DEHESA ELEMENTARY
3997,1246,UNIVERSITY TOWN CENTER-ANNEX,
5109,1247,UPWARD BOUND #1,
5113,1248,UPWARD BOUND #2,
5117,1249,UPWARD BOUND MATH SCIENCE #1,
5121,1250,UPWARD BOUND MATH SCIENCE #2,
4005,1251,URBAN DISCOVERY ACADEMY CHARTER,SAN DIEGO UNIFIED
4477,1252,URBAN LIFE MINISTRIES,
4001,1253,URBAN SKILLS CENTER,
4013,1254,VALENCIA PARK ELEMENTARY,SAN DIEGO UNIFIED
4697,1255,VALENCIA PARK/MALCOLM X BRANCH LIBRARY,
4017,1256,VALHALLA HIGH,GROSSMONT UNION HIGH
4021,1257,VALIANT ACADEMY DESD,DEHESA ELEMENTARY
4025,1258,VALIANT ACADEMY OF SOUTHERN CALIFORNIA,DEHESA ELEMENTARY
4029,1259,VALLE LINDO ELEMENTARY,CHULA VISTA ELEMENTARY
4033,1260,VALLECITOS ELEMENTARY,FALLBROOK UNION HIGH
4481,1261,VALLEY CENTER BRANCH LIBRARY,
4041,1262,VALLEY CENTER ELEMENTARY,VALLEY CENTER-PAUMA UNIFIED
,1263,VALLEY CENTER ELEMENTARY LOWER,VALLEY CENTER-PAUMA UNIFIED
4045,1264,VALLEY CENTER HIGH,VALLEY CENTER-PAUMA UNIFIED
4049,1265,VALLEY CENTER MIDDLE,VALLEY CENTER-PAUMA UNIFIED
4053,1266,VALLEY CENTER PREP,VALLEY CENTER-PAUMA UNIFIED
4057,1267,VALLEY CENTER PRIMARY,VALLEY CENTER-PAUMA UNIFIED
5373,1268,VALLEY CENTER-PAUMA ADULT,VALLEY CENTER-PAUMA UNIFIED
4061,1269,VALLEY ELEMENTARY,POWAY UNIFIED
4065,1270,VALLEY HIGH (CONTINUATION),ESCONDIDO UNION HIGH
4069,1271,VALLEY MIDDLE,CARLSBAD UNIFIED
4073,1272,VALLEY VISTA ELEMENTARY,CHULA VISTA ELEMENTARY
4485,1273,VCC PROJECT REACH LIBBY LAKE,
4077,1274,VETERANS ELEMENTARY,CHULA VISTA ELEMENTARY
4081,1275,VICKING CENTER,
4085,1276,VICTORIA BLENDED COMMUNITY SCHOOL,
4089,1277,VICTORIA COMMUNITY SCHOOL,
4701,1278,VICTORY OUTREACH,
4489,1279,VIEJAS RECREATION CENTER,
5045,1280,VILLAGE AT SERRA MESA,
4705,1281,VILLAGE VIEW APARTMENTS,
4093,1282,VIP VILLAGE PRESCHOOL,
4097,1283,VISTA ACADEMY OF VISUAL AND PERFORMING ARTS,VISTA UNIFIED
4101,1284,VISTA ADULT TRANSITION CENTER,VISTA UNIFIED
4493,1285,VISTA BRANCH LIBRARY,
4109,1286,VISTA DEL MAR,SAN YSIDRO ELEMENTARY
4113,1287,VISTA GRANDE ELEMENTARY,SAN DIEGO UNIFIED
4117,1288,VISTA GRANDE ELEMENTARY,CAJON VALLEY UNION
5049,1289,VISTA GRANDE SUMMER,
4121,1290,VISTA HIGH,VISTA UNIFIED
4125,1291,VISTA INNOVATION AND DESIGN ACADEMY,VISTA UNIFIED
4129,1292,VISTA LA MESA ACADEMY,LEMON GROVE
4709,1293,VISTA LA MESA CHRISTIAN CHURCH,
4133,1294,"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE, AND MATH",VISTA UNIFIED
4137,1295,VISTA SPRINGS CHARTER,SBE - VISTA SPRINGS CHARTER
4141,1296,VISTA SQUARE ELEMENTARY,CHULA VISTA ELEMENTARY
4713,1297,VISTA TERRACE HILLS,
4145,1298,VISTA VISIONS ACADEMY,VISTA UNIFIED
4149,1299,VIVIAN BANKS CHARTER,BONSALL UNIFIED
4497,1300,VIVIAN BANKS CHARTER SCHOOL,
4153,1301,W. D. HALL ELEMENTARY,CAJON VALLEY UNION
4157,1302,WALKER CDC,
4161,1303,WALKER ELEMENTARY,SAN DIEGO UNIFIED
4165,1304,WANGENHEIM MIDDLE,SAN DIEGO UNIFIED
4169,1305,WARNER ELEMENTARY,WARNER UNIFIED
