siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
545,2016-2017,CASTLE PARK MIDDLE,SWEETWATER UNION HIGH,Intermediate/Middle Schools (Public),,,,,FALSE,7,8,877,557,687,877,557,687,TRUE,Middle School,High School District,TRADITIONAL,68411,6059752
2113,2015-2016,LILAC,VALLEY CENTER-PAUMA UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,6,560,208,248,554,207,247,TRUE,Elementary School,Unified School District,TRADITIONAL,75614,100511
4153,2016-2017,W. D. HALL ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),CEP,,,,FALSE,K,5,607,431,481,602,427,477,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037741
777,2016-2017,CORONADO MIDDLE,CORONADO UNIFIED,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,709,34,58,709,34,58,TRUE,Middle School,Unified School District,TRADITIONAL,68031,6059570
3545,2016-2017,SANTA MARGARITA ACADEMY,FALLBROOK UNION ELEMENTARY,District Community Day Schools,,,,,FALSE,4,8,6,5,5,6,5,5,TRUE,Other,Elementary School District,COMMUNITY DAY SCHOOL,68114,115519
529,2016-2017,CASA DE ORO ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,,,,FALSE,K,6,366,227,274,353,224,265,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038434
2925,2015-2016,OLIVE PEIRCE MIDDLE,RAMONA CITY UNIFIED,Intermediate/Middle Schools (Public),None,FALSE,,,FALSE,7,8,822,245,316,822,245,316,TRUE,Middle School,Unified School District,TRADITIONAL,68304,6105563
1641,2015-2016,INGENUITY CHARTER,SAN DIEGO UNIFIED,High Schools (Public),None,TRUE,1719,DIRECTLY FUNDED,TRUE,6,12,23,21,23,22,20,22,TRUE,High School,Unified School District,TRADITIONAL,68338,131979
1297,2015-2016,GARFIELD ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,337,248,302,324,237,290,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039655
3889,2015-2016,THE O'FARRELL CHARTER,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),Provision 2,TRUE,48,DIRECTLY FUNDED,TRUE,K,12,1578,903,1143,1560,890,1126,TRUE,Middle School,Unified School District,TRADITIONAL,68338,6061964
3561,2015-2016,SANTEE SUCCESS PROGRAM,SANTEE,District Community Day Schools,None,FALSE,,,FALSE,K,8,5,4,4,5,4,4,TRUE,Other,Elementary School District,COMMUNITY DAY SCHOOL,68361,6120190
3981,2015-2016,TWIN PEAKS MIDDLE,POWAY UNIFIED,Intermediate/Middle Schools (Public),None,FALSE,,,FALSE,6,8,1167,195,241,1167,195,241,TRUE,Middle School,Unified School District,TRADITIONAL,68296,6070866
3429,2015-2016,SAN DIEGO GLOBAL VISION ACADEMY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,TRUE,1190,DIRECTLY FUNDED,FALSE,K,5,242,115,166,241,115,165,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,121681
821,2015-2016,CROWN POINT ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,400,198,245,391,198,245,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039424
4013,2015-2016,VALENCIA PARK ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,517,424,485,502,411,471,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040257
3477,2015-2016,SAN DIEGUITO HIGH ACADEMY,SAN DIEGUITO UNION HIGH,High Schools (Public),None,FALSE,,,FALSE,9,12,1828,142,196,1797,138,192,TRUE,High School,High School District,TRADITIONAL,68346,3737418
3053,2015-2016,PALOMAR HIGH,SWEETWATER UNION HIGH,Continuation High Schools,None,FALSE,,,FALSE,7,12,288,168,184,169,95,107,TRUE,Other,High School District,CONTINUATION SCHOOL,68411,3732047
1893,2016-2017,KIMBALL,NATIONAL ELEMENTARY,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,396,175,177,396,175,177,TRUE,Elementary School,Elementary School District,TRADITIONAL,68221,6038772
3437,2016-2017,SAN DIEGO INTERNATIONAL STUDIES,SAN DIEGO UNIFIED,High Schools (Public),,,,,FALSE,9,12,1024,419,531,1017,415,527,TRUE,High School,Unified School District,TRADITIONAL,68338,107029
605,2016-2017,CHARTER SCHOOL OF SAN DIEGO,SAN DIEGO UNIFIED,High Schools (Public),,,28,DIRECTLY FUNDED,TRUE,7,12,1918,1158,1425,1540,923,1130,TRUE,High School,Unified School District,TRADITIONAL,68338,3730959
1765,2016-2017,JOHNSON ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,371,297,333,360,289,324,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039788
