"academicyear","countycode","districtcode","schoolcode","countyname","districname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2017-2018",37,67967,6037519,"SAN DIEGO","ALPINE UNION ELEMENTARY","ALPINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"1","5",214,86,40.2,108,50.5,213,85,39.9,107,50.2,TRUE,"Elementary School"
"2017-2018",37,67967,6037535,"SAN DIEGO","ALPINE UNION ELEMENTARY","JOAN MACQUEEN MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",512,134,26.2,147,28.7,512,134,26.2,147,28.7,TRUE,"Middle School"
"2017-2018",37,67967,6106256,"SAN DIEGO","ALPINE UNION ELEMENTARY","SHADOW HILLS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",365,81,22.2,94,25.8,365,81,22.2,94,25.8,TRUE,"Elementary School"
"2017-2018",37,67967,6109086,"SAN DIEGO","ALPINE UNION ELEMENTARY","BOULDER OAKS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"1","5",295,58,19.7,70,23.7,295,58,19.7,70,23.7,TRUE,"Elementary School"
"2017-2018",37,67967,6109953,"SAN DIEGO","ALPINE UNION ELEMENTARY","MOUNTAIN VIEW LEARNING ACADEMY","Elementary School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"K","8",80,14,17.5,17,21.3,80,14,17.5,17,21.3,TRUE,"Other"
"2017-2018",37,67967,6118723,"SAN DIEGO","ALPINE UNION ELEMENTARY","CREEKSIDE EARLY LEARNING CENTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","K",243,49,20.2,62,25.5,215,42,19.5,55,25.6,TRUE,"Elementary School"
"2017-2018",37,67983,131144,"SAN DIEGO","BORREGO SPRINGS UNIFIED","DIEGO SPRINGS ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1692,"DIRECTLY FUNDED",TRUE,"K","12",2,2,100,2,100,0,0,0,0,0,TRUE,"Elementary School"
"2017-2018",37,67983,134890,"SAN DIEGO","BORREGO SPRINGS UNIFIED","SAN DIEGO WORKFORCE INNOVATION HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,1832,"DIRECTLY FUNDED",TRUE,"9","12",2021,1344,66.5,1517,75.1,1214,760,62.6,865,71.3,TRUE,"High School"
"2017-2018",37,67983,136457,"SAN DIEGO","BORREGO SPRINGS UNIFIED","JUAN BAUTISTA DE ANZA CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1021,"DIRECTLY FUNDED",TRUE,"K","12",25,16,64,16,64,25,16,64,16,64,TRUE,"Elementary School"
"2017-2018",37,67983,3730447,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS HIGH","Unified School District","High Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"9","12",126,90,71.4,110,87.3,122,86,70.5,106,86.9,TRUE,"High School"
"2017-2018",37,67983,6037550,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"P","5",174,135,77.6,152,87.4,168,129,76.8,146,86.9,TRUE,"Elementary School"
"2017-2018",37,67983,6115315,"SAN DIEGO","BORREGO SPRINGS UNIFIED","BORREGO SPRINGS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"6","8",95,65,68.4,83,87.4,95,65,68.4,83,87.4,TRUE,"Middle School"
"2017-2018",37,67991,1,"SAN DIEGO","CAJON VALLEY UNION","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,0,17,0,0,0,0,TRUE,NA
"2017-2018",37,67991,108563,"SAN DIEGO","CAJON VALLEY UNION","EJE ELEMENTARY ACADEMY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,683,"DIRECTLY FUNDED",TRUE,"K","5",559,350,62.6,426,76.2,531,335,63.1,407,76.6,TRUE,"Elementary School"
"2017-2018",37,67991,111005,"SAN DIEGO","CAJON VALLEY UNION","LOS COCHES CREEK MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",656,221,33.7,257,39.2,656,221,33.7,257,39.2,TRUE,"Middle School"
"2017-2018",37,67991,119255,"SAN DIEGO","CAJON VALLEY UNION","EJE MIDDLE ACADEMY","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,1063,"DIRECTLY FUNDED",TRUE,"6","8",229,145,63.3,175,76.4,229,145,63.3,175,76.4,TRUE,"Middle School"
"2017-2018",37,67991,136176,"SAN DIEGO","CAJON VALLEY UNION","EMPOWER","Elementary School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"K","8",10,7,70,9,90,10,7,70,9,90,TRUE,"Other"
