"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BAKER BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,1351
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BRONNER BRANCH","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,944
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BRONNER BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",21,1254
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CLAIREMONT BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1848
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CLAIREMONT BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,2932
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CONRAD PREBYS ESCONDIDO","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1617
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","CONRAD PREBYS ESCONDIDO","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,2012
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","ENCANTO BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1392
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","ENCANTO BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,1702
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH)","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,936
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH)","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,931
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RAMONA BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,634
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RAMONA BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,775
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH)","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1873
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH)","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,2127
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","SULPIZIO FAMILY BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1924
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","SULPIZIO FAMILY BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,2602
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","WILLIAM J OAKES BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1008
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","WILLIAM J OAKES BRANCH","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,2141
