County Name,ClaimDate,ProgramCode,ProgramGroupYear,Name,MealGroupCode,DaysServedQty,,,,,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,avg
SAN DIEGO,Jul 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,21,,,,,612,0,19,631,
SAN DIEGO,Jun 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,21,,,,,563,0,18,581,
SAN DIEGO,Mar 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,22,,,,,687,0,22,709,
SAN DIEGO,May 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,23,,,,,564,0,18,582,
SAN DIEGO,Nov 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,20,,,,,682,0,22,704,
SAN DIEGO,Oct 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,22,,,,,742,0,37,779,
SAN DIEGO,Apr 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,21,,,,,855,202,979,2036,
SAN DIEGO,Aug 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,22,,,,,904,214,1034,2152,
SAN DIEGO,Dec 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,10,,,,,392,93,449,934,
SAN DIEGO,Feb 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,18,,,,,752,178,860,1790,
SAN DIEGO,Jan 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,21,,,,,808,191,926,1925,
SAN DIEGO,Jul 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,21,,,,,742,176,849,1767,
SAN DIEGO,Jun 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,21,,,,,780,185,892,1857,
SAN DIEGO,Mar 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,17,,,,,710,168,813,1691,
SAN DIEGO,May 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,22,,,,,881,209,1008,2098,
SAN DIEGO,Nov 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,18,,,,,633,150,724,1507,
SAN DIEGO,Oct 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_BREAKFAST,22,,,,,844,200,967,2011,
SAN DIEGO,Apr 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,21,,,,,573,136,656,1365,
SAN DIEGO,Aug 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,22,,,,,598,142,684,1424,
SAN DIEGO,Dec 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,10,,,,,260,62,297,619,
SAN DIEGO,Feb 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,18,,,,,502,119,575,1196,
SAN DIEGO,Jan 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,21,,,,,543,129,622,1294,
SAN DIEGO,Jul 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,21,,,,,508,120,583,1211,
SAN DIEGO,Jun 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,21,,,,,548,130,627,1305,
SAN DIEGO,Mar 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,17,,,,,482,114,551,1147,
SAN DIEGO,May 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,22,,,,,626,148,716,1490,
SAN DIEGO,Nov 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,18,,,,,506,120,580,1206,
SAN DIEGO,Oct 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_LUNCH,22,,,,,564,133,646,1343,
SAN DIEGO,Apr 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,21,,,,,773,183,885,1841,
SAN DIEGO,Aug 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,22,,,,,774,183,886,1843,
SAN DIEGO,Dec 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,10,,,,,351,83,403,837,
SAN DIEGO,Feb 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,18,,,,,699,165,800,1664,
SAN DIEGO,Jan 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,21,,,,,734,174,840,1748,
SAN DIEGO,Jul 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,21,,,,,605,143,692,1440,
SAN DIEGO,Jun 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,21,,,,,451,107,515,1073,
SAN DIEGO,Mar 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,17,,,,,636,151,728,1515,
SAN DIEGO,May 2018,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,22,,,,,765,181,877,1823,
SAN DIEGO,Nov 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,18,,,,,580,137,665,1382,
SAN DIEGO,Oct 2017,CACF,2018,PALOMAR COMMUNITY COLLEGE DISTRICT CDC,CHILD_SNACK_PM,22,,,,,784,185,897,1866,
SAN DIEGO,Feb 2018,CACF,2018,PILGRIM UNITED CHURCH OF,CHILD_BREAKFAST,17,,,,,67,0,0,67,
SAN DIEGO,Feb 2018,CACF,2018,PILGRIM UNITED CHURCH OF,CHILD_LUNCH,17,,,,,70,0,0,70,
SAN DIEGO,Feb 2018,CACF,2018,PILGRIM UNITED CHURCH OF,CHILD_SNACK_PM,17,,,,,61,0,0,61,
SAN DIEGO,Apr 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_BREAKFAST,19,,,,,106,0,0,106,
SAN DIEGO,Jul 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_BREAKFAST,21,,,,,75,0,0,75,
SAN DIEGO,Jun 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_BREAKFAST,19,,,,,106,0,0,106,
SAN DIEGO,Mar 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_BREAKFAST,22,,,,,121,0,0,121,
SAN DIEGO,May 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_BREAKFAST,22,,,,,108,0,0,108,
SAN DIEGO,Apr 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_LUNCH,19,,,,,111,0,0,111,
SAN DIEGO,Jul 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_LUNCH,21,,,,,80,0,0,80,
SAN DIEGO,Jun 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_LUNCH,19,,,,,107,0,0,107,
SAN DIEGO,Mar 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_LUNCH,22,,,,,125,0,0,125,
SAN DIEGO,May 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_LUNCH,22,,,,,111,0,0,111,
SAN DIEGO,Apr 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_SNACK_PM,19,,,,,105,0,0,105,
SAN DIEGO,Jul 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_SNACK_PM,21,,,,,68,0,0,68,
SAN DIEGO,Jun 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_SNACK_PM,19,,,,,101,0,0,101,
SAN DIEGO,Mar 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_SNACK_PM,22,,,,,118,0,0,118,
SAN DIEGO,May 2018,CACF,2018,PILGRIM UNITED CHURCH OF,HS_CHILD_SNACK_PM,22,,,,,101,0,0,101,
SAN DIEGO,Apr 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,21,,,,,1635,0,0,1635,
SAN DIEGO,Aug 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,23,,,,,1462,0,0,1462,
SAN DIEGO,Dec 2017,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,19,,,,,1168,0,0,1168,
SAN DIEGO,Feb 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,20,,,,,1247,0,0,1247,
SAN DIEGO,Jan 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,22,,,,,1397,0,0,1397,
SAN DIEGO,Jul 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,21,,,,,1467,0,0,1467,
SAN DIEGO,Jun 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,21,,,,,1366,0,0,1366,
SAN DIEGO,Mar 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,22,,,,,1326,0,0,1326,
SAN DIEGO,May 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,22,,,,,1529,0,0,1529,
SAN DIEGO,Nov 2017,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,20,,,,,1376,0,0,1376,
SAN DIEGO,Oct 2017,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_BREAKFAST,22,,,,,1617,0,0,1617,
SAN DIEGO,Apr 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_LUNCH,21,,,,,1677,0,0,1677,
SAN DIEGO,Aug 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_LUNCH,23,,,,,1714,0,0,1714,
SAN DIEGO,Dec 2017,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_LUNCH,19,,,,,1441,0,0,1441,
SAN DIEGO,Feb 2018,CACF,2018,"POWAY ADHC CENTER, LLC",ADULT_LUNCH,20,,,,,1538,0,0,1538,
