CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,7,22,513,0,0,513,513,23.3182,125
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,1,4,135,0,0,135,135,33.75,34
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,22,2511,0,0,2511,2511,114.1364,112
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,22,918,0,0,918,918,41.7273,41
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,12,551,0,0,551,551,45.9167,45
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,26,2043,0,0,2043,2043,78.5769,272
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,9,26,5151,0,0,5151,5151,198.1154,272
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_VENDED,1,12,568,0,0,568,568,47.3333,47
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,26,360,0,0,360,360,13.8462,65
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,3,26,1357,0,0,1357,1357,52.1923,65
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Camp Oliver, Inc.",CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,25,952,0,0,952,952,38.08,39
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Camp Oliver, Inc.",CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,20,771,0,0,771,771,38.55,39
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Camp Oliver, Inc.",CAMP,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,25,962,0,0,962,962,38.48,39
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,San Diego State University Research Foundation,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,2,18,1460,0,0,1460,1460,81.1111,82
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,San Diego State University Research Foundation,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,2,22,1440,0,0,1440,1440,65.4545,66
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,San Diego State University Research Foundation,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_VENDED,2,13,1126,0,0,1126,1126,86.6154,87
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,3,22,1721,0,0,1721,1721,78.2273,79
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,3,22,2194,0,0,2194,2194,99.7273,100
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,7,13,6042,0,0,6042,6042,464.7692,464
