"county","fnsreportdate","fnssubtype","programcode","programgroupyear","sponsorname","sponsortype","mealgroupcode","mealtypecode","siteqty","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","mlsservedfinal","avgdailymeals","avgdailypartic","academicyear"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"ESCONDIDO UNION HIGH SCHOOL DISTRICT","PUBPRIVSCHOOL","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",10,14,8617,0,0,8617,8617,615.5,604,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,18,2456,0,0,2456,2456,136.4444,137,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",2,20,9991,0,0,9991,9991,499.55,500,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","CAMP","SFSP_SUPPER","SFSP_SUPPER_SELFPREP",1,18,2394,0,0,2394,2394,133,133,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",9,20,398,0,0,398,398,19.9,598,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",9,20,11632,0,0,11632,11632,581.6,598,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",10,20,1710,0,0,1710,1710,85.5,789,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",10,20,14122,0,0,14122,14122,706.1,789,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,20,1552,0,0,1552,1552,77.6,77,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,20,1632,0,0,1632,1632,81.6,80,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",4,15,1184,0,0,1184,1184,78.9333,79,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_LUNCH","SFSP_LUNCH_VENDED",4,15,897,0,0,897,897,59.8,60,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","CAMP","SFSP_SUPPER","SFSP_SUPPER_VENDED",4,13,932,0,0,932,932,71.6923,72,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",1,20,678,0,0,678,678,33.9,34,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",1,20,707,0,0,707,707,35.35,36,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_SUPPER","SFSP_SUPPER_VENDED",1,14,530,0,0,530,530,37.8571,38,"2016-2017"
"SAN DIEGO",2015-10-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_CCNSP","SFSP_SNACK_CCNSP_SELFPREP",11,22,27769,0,0,27769,27769,1262.2273,1263,"2015-2016"
"SAN DIEGO",2015-10-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_CCNSP","SFSP_SNACK_CCNSP_SELFPREP",5,31,3029,0,0,3029,3029,97.7097,96,"2015-2016"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"ESCONDIDO UNION HIGH SCHOOL DISTRICT","PUBPRIVSCHOOL","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",2,4,598,0,0,598,598,149.5,147,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"ESCONDIDO UNION HIGH SCHOOL DISTRICT","PUBPRIVSCHOOL","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",4,4,984,0,0,984,984,246,242,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CSU SAN DIEGO (BEST)","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",1,9,148,0,0,148,148,16.4444,17,"2016-2017"
