AgencyRef,AgencyName,Addr1,City,Zip,City Council District,County Board of Supervisor District,State Senate District,State Assembly District,Federal Congressional District
BP-1588-60,Felicita Elementary (Escondido Union),737 W 13th Ave,Escondido,92025,,,,,
PET-3052,Ferdinand's Rescue,2804 Hollister St.,San Diego,92139,,,,,
BP-1588-41,Field Elementary (SDUSD Traditional),4375 Bannock Ave,San Diego ,92117,,,,,
EFAP-D1024,First Christian Church of National City,1800 East 17th Street,National City,91950,,,,,
CFDP-2025,First Presbyterian Church,2001 South El Camino Real,Oceanside,92054,,,,,
CFDP-3025,First Step House of North County,3808 Adams Street,Carlsbad,92008,,,,,
CFDP-1224,First United Methodist Church San Diego,5380 El Cajon Boulevard,San Diego,92115,,,,,
BP-1588-53,Foothill Oak Elementary (Vista Unified),1370 Oak Drive,Vista,92084,,,,,
CFDP-3005,Foundation for Grossmont and Cuyamaca Colleges; Cuyamaca,900 Rancho San Diego Parkway,El Cajon,92019,,,,,
CFDP-1940,Foundation for Grossmont and Cuyamaca Colleges; Grossmont,8800 Grossmont College Drive,El Cajon,92020,,,,,
CFDP-3016,Foundation Matthew 633,PO Box 301569,Escondido,92025,,,,,
EFAP-D5033,"Foundry Community Church, The",120 North Ash Street,Escondido,92027,,,,,
BP-1588-66,Franklin Elementary (SDUSD),4481 Copeland Ave,San Diego,92116,,,,,
CFDP-2085,"Fraternity House, Incorporated",20702 Elfin Forest Road,Escondido,92029,,,,,
VCH-2030,Fred Finch Youth Center,Food Bank Voucher Program,San Diego,92131,,,,,
CFDP-1536,Freedom in Christ Fellowship,8698 Avenida Marco,El Cajon,92021,,,,,
CFDP-1813,Friends of Downtown,2400 Euclid Avenue,National City,91950,,,,,
CFDP-1626,Friendships for Hope,2711 Burden Way,National City,91950,,,,,
BP-1588-72,Garden Road Elementary (Poway Unified),14614 Garden Road,Poway,92064,,,,,
CFDP-1712,Gateway Church DBA Crossline Church,1280 North Johnson Avenue,El Cajon,92020,,,,,
CFDP-1548,Gathering Place Church. The,14484 Penasquitos Drive,Poway,92129,,,,,
CFDP-3006,Give San Diego,7710 Balboa Avenue,San Diego,92111,,,,,
CFDP-1671,Gleaning Field Foundation. The,2220 Watson Way ,Vista,92081,,,,,
CFDP-2033,Good Neighbor Community Builders,1393 Bonair Road,Vista,92084,,,,,
CSFP-0064,Good News Baptist,4106 Swift Avenue,San Diego,92104,,,,,
EFAP-D4010,Good News Baptist Church,4106 Swift Avenue,San Diego,92104,,,,,
CFDP-1939,Gospel Tidings of National City,3400 East 8th Street,National City,91950,,,,,
EFAP-D3039,Grace Church San Diego ,4637 Oregon Street,San Diego,92116,,,,,
CFDP-2087,Grace Full Gospel Ministries,1702 South Ditmar Street,Oceanside,92054,,,,,
CFDP-1901,Grace Presbyterian Church,1450 East Vista Way,Vista,92084,,,,,
CFDP-1877,Grand Avenue Church of Christ,728 Grand Avenue,Spring Valley,91977,,,,,
CSFP-0111,Grandon Village Apartments ,1607 Grandon Avenue,San Marcos,92078,,,,,
CSFP-0102,Granger Apartments ,2700 E 8th Street,National City,91950,,,,,
BP-1588-59,Grapevine Elementary (Vista Unified),630 Grapevine Road,Vista,92083,,,,,
CFDP-2017,Greater Ebenezer COGIC The (Ebenezer Church),2251 Mesa Drive,Oceanside,92054,,,,,
EFAP-D4055,Greater Victory Baptist Church,1045 South 29th Street ,San Diego,92113,,,,,
CFDP-1904,Greater Woodlawn Park COGIC,124 Spruce Road,Chula Vista,91911,,,,,
CFD-1940,Grossmont College (mobile pantry),8800 Grossmont College Drive,El Cajon,92020,,,,,
CFDP-3042,Grossmont Secondary School,10170 Huennekens Street,San Diego,92121,,,,,
CFDP-1926,Guardian Angels Catholic Church,9310 Dalehurst Road,Santee,92071,,,,,
CFDP-1942,H.O.S.T. at University of San Diego (USD),7063 Batista Street,San Diego,92111,,,,,
CFDP-3030,Handkind,2778 Sweetwater Springs Boulevard,Spring Valley,91977,,,,,
BP-1588-15,Harborside Elementary School (Chula Vista Elem),681 Naples St.,Chula Vista,91911,,,,,
CFDP-1261,Harmonium Incorporated (Loma Portal) - Classic Kids,3341 Browning Street,San Diego,92107,,,,,
CSFP-0125,Harvest Ridge Apartments ,1388 East Palomar Street ,Chula Vista,91913,,,,,
CFDP-1665,Heartland House,5855 Streamview Drive,San Diego,92105,,,,,
CFD-1513-4,Hearts and Hands Working Together,2020 Alaquinas Drive,San Ysidro,92173,,,,,
EFAP-D1015,Hearts and Hands Working Together (E-site),663 East San Ysidro Boulevard,San Ysidro,92173,,,,,
EFAP-D1028,Hearts and Hands Working Together (Mass),455 Sycamore Road,San Ysidro,92173,,,,,
CFD-1513-8,Heaven's Windows,2300 Bancroft Drive,Spring Valley,91977,,,,,
EFAP-D2042,Heaven's Windows,2820 Via Orange Way Ste W,Spring Valley,91978,,,,,
SK-010,Heaven's Windows,"2820 Via Orange Way, Suite W",Spring Valley,91977,,,,,
CSFP-0103,Heaven's Windows ,2300 Bancroft Drive,Spring Valley,91977,,,,,
CFDP-2035,Hebrew Conservative Union,970 W. Valley Parkway #439,Escondido,92025,,,,,
BP-1588-07,Herbert Ibarra Elementary (SDUSD Year Round),4877 Orange Ave,San Diego,92105,,,,,
CSFP-0056,Highland Baptist Church ,2605 Highland Avenue,National City,91950,,,,,
CFDP-1890,Holy Family St Vincent de Paul Conference,1957 Coolidge Street,San Diego,92111,,,,,
CFDP-1168,Holy Trinity Catholic Church,405 Ballard Street,El Cajon,92019,,,,,
CFDP-3065,"Home Start, Inc.",5005 Texas Street,San Diego,92108,,,,,
OTG-0006,Hoover High School,4474 El Cajon Blvd,San Diego,92115,,,,,
CFDP-1642,Hope Christian Fellowship of Ramona,"850 Main Street, Ste 201",Ramona,92065,,,,,
CSFP-0066,Horizons Adult Day Care Center,1035 Harbison Avenue,National City,91950,,,,,
CFDP-1291,House of Metamorphosis,2970 Market Street,San Diego,92102,,,,,
CFDP-3011,Iglesia Bautista Fundamental Church,221 W. 7th Avenue,Escondido,92025,,,,,
CFDP-1755,Iglesia Metodista Libre Sinai,1902 Irving Avenue,San Diego,92113,,,,,
CFDP-1732,Iglesia Palabra Viva,542 Broadway Street,Chula Vista,91912,,,,,
CFDP-3077,Imago Dei Ministries ,650 B Street #2100,San Diego ,92101,,,,,
