"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68098,6038236,"SAN DIEGO","ESCONDIDO UNION","LINCOLN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",499,426,85.4,468,93.8,492,421,85.6,462,93.9,TRUE,"Elementary School"
"2018-2019",37,68098,6038244,"SAN DIEGO","ESCONDIDO UNION","OAK HILL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",719,559,77.7,629,87.5,707,552,78.1,620,87.7,TRUE,"Elementary School"
"2018-2019",37,68098,6038251,"SAN DIEGO","ESCONDIDO UNION","ROSE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",524,392,74.8,442,84.4,512,384,75,433,84.6,TRUE,"Elementary School"
"2018-2019",37,68098,6038939,"SAN DIEGO","ESCONDIDO UNION","GLEN VIEW ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",666,462,69.4,540,81.1,657,455,69.3,533,81.1,TRUE,"Elementary School"
"2018-2019",37,68098,6038947,"SAN DIEGO","ESCONDIDO UNION","ORANGE GLEN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",622,433,69.6,519,83.4,613,428,69.8,512,83.5,TRUE,"Elementary School"
"2018-2019",37,68098,6066997,"SAN DIEGO","ESCONDIDO UNION","MILLER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",419,225,53.7,272,64.9,410,220,53.7,266,64.9,TRUE,"Elementary School"
"2018-2019",37,68098,6093215,"SAN DIEGO","ESCONDIDO UNION","HIDDEN VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"6","8",943,668,70.8,795,84.3,943,668,70.8,795,84.3,TRUE,"Middle School"
"2018-2019",37,68098,6102750,"SAN DIEGO","ESCONDIDO UNION","NORTH BROADWAY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",590,292,49.5,373,63.2,577,287,49.7,365,63.3,TRUE,"Elementary School"
"2018-2019",37,68098,6105944,"SAN DIEGO","ESCONDIDO UNION","RINCON MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1135,644,56.7,789,69.5,1135,644,56.7,789,69.5,TRUE,"Middle School"
"2018-2019",37,68098,6107882,"SAN DIEGO","ESCONDIDO UNION","L. R. GREEN ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",804,302,37.6,364,45.3,791,301,38.1,363,45.9,TRUE,"Elementary School"
