"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68379,137737,"SAN DIEGO","SAN YSIDRO ELEMENTARY","VISTA DEL MAR","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",413,174,42.1,235,56.9,413,174,42.1,235,56.9,TRUE,"Middle School"
"2018-2019",37,68379,6085146,"SAN DIEGO","SAN YSIDRO ELEMENTARY","SMYTHE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",647,552,85.3,584,90.3,634,540,85.2,572,90.2,TRUE,"Elementary School"
"2018-2019",37,68379,6089007,"SAN DIEGO","SAN YSIDRO ELEMENTARY","LA MIRADA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",413,326,78.9,363,87.9,403,320,79.4,355,88.1,TRUE,"Elementary School"
"2018-2019",37,68379,6093264,"SAN DIEGO","SAN YSIDRO ELEMENTARY","SUNSET ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"P","6",672,541,80.5,608,90.5,672,541,80.5,608,90.5,TRUE,"Elementary School"
"2018-2019",37,68379,6098453,"SAN DIEGO","SAN YSIDRO ELEMENTARY","SAN YSIDRO MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"7","8",656,486,74.1,525,80,656,486,74.1,525,80,TRUE,"Middle School"
"2018-2019",37,68379,6119341,"SAN DIEGO","SAN YSIDRO ELEMENTARY","OCEAN VIEW HILLS","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"P","6",985,388,39.4,503,51.1,962,380,39.5,491,51,TRUE,"Elementary School"
"2018-2019",37,68387,105825,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SOLANA PACIFIC ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","6",519,36,6.9,42,8.1,519,36,6.9,42,8.1,TRUE,"Elementary School"
"2018-2019",37,68387,129049,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SOLANA RANCH ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",572,29,5.1,29,5.1,572,29,5.1,29,5.1,TRUE,"Elementary School"
"2018-2019",37,68387,6040455,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SKYLINE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",506,88,17.4,96,19,506,88,17.4,96,19,TRUE,"Elementary School"
"2018-2019",37,68387,6070882,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SOLANA VISTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","3",343,60,17.5,76,22.2,343,60,17.5,76,22.2,TRUE,"Elementary School"
"2018-2019",37,68387,6106140,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SOLANA HIGHLANDS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","3",298,14,4.7,14,4.7,298,14,4.7,14,4.7,TRUE,"Elementary School"
"2018-2019",37,68387,6111181,"SAN DIEGO","SOLANA BEACH ELEMENTARY","SOLANA SANTA FE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",307,24,7.8,27,8.8,307,24,7.8,27,8.8,TRUE,"Elementary School"
"2018-2019",37,68387,6112353,"SAN DIEGO","SOLANA BEACH ELEMENTARY","CARMEL CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","3",346,20,5.8,23,6.6,346,20,5.8,23,6.6,TRUE,"Elementary School"
"2018-2019",37,68395,1,"SAN DIEGO","SOUTH BAY UNION","NONPUBLIC, NONSECTARIAN SCHOOLS","Elementary School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0,0,0,0,TRUE,NA
"2018-2019",37,68395,6040463,"SAN DIEGO","SOUTH BAY UNION","BAYSIDE STEAM ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",530,361,68.1,389,73.4,520,353,67.9,381,73.3,TRUE,"Elementary School"
"2018-2019",37,68395,6040471,"SAN DIEGO","SOUTH BAY UNION","CENTRAL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",499,364,72.9,406,81.4,488,356,73,397,81.4,TRUE,"Elementary School"
"2018-2019",37,68395,6040489,"SAN DIEGO","SOUTH BAY UNION","EMORY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",534,336,62.9,382,71.5,523,328,62.7,373,71.3,TRUE,"Elementary School"
"2018-2019",37,68395,6040505,"SAN DIEGO","SOUTH BAY UNION","IMPERIAL BEACH CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1418,"LOCALLY FUNDED",FALSE,"K","8",896,434,48.4,552,61.6,884,428,48.4,546,61.8,TRUE,"Elementary School"
"2018-2019",37,68395,6040513,"SAN DIEGO","SOUTH BAY UNION","NESTOR LANGUAGE ACADEMY CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1252,"LOCALLY FUNDED",FALSE,"K","8",1030,478,46.4,664,64.5,1019,473,46.4,658,64.6,TRUE,"Elementary School"
"2018-2019",37,68395,6040521,"SAN DIEGO","SOUTH BAY UNION","ONEONTA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",513,329,64.1,372,72.5,503,322,64,365,72.6,TRUE,"Elementary School"
"2018-2019",37,68395,6040539,"SAN DIEGO","SOUTH BAY UNION","SUNNYSLOPE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",517,348,67.3,378,73.1,504,338,67.1,367,72.8,TRUE,"Elementary School"
"2018-2019",37,68395,6067029,"SAN DIEGO","SOUTH BAY UNION","GODFREY G. BERRY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",465,325,69.9,387,83.2,465,325,69.9,387,83.2,TRUE,"Elementary School"
"2018-2019",37,68395,6094973,"SAN DIEGO","SOUTH BAY UNION","HOWARD PENCE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",663,493,74.4,556,83.9,645,478,74.1,539,83.6,TRUE,"Elementary School"
"2018-2019",37,68395,6098487,"SAN DIEGO","SOUTH BAY UNION","GEORGE NICOLOFF ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",759,546,71.9,594,78.3,747,538,72,586,78.4,TRUE,"Elementary School"
"2018-2019",37,68395,6116008,"SAN DIEGO","SOUTH BAY UNION","TEOFILO MENDOZA","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",791,563,71.2,627,79.3,772,554,71.8,617,79.9,TRUE,"Elementary School"
"2018-2019",37,68403,125401,"SAN DIEGO","SPENCER VALLEY ELEMENTARY","INSIGHT @ SAN DIEGO","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1371,"DIRECTLY FUNDED",TRUE,"K","12",232,131,56.5,150,64.7,190,106,55.8,123,64.7,TRUE,"Elementary School"
"2018-2019",37,68403,6040554,"SAN DIEGO","SPENCER VALLEY ELEMENTARY","SPENCER VALLEY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",41,17,41.5,19,46.3,41,17,41.5,19,46.3,TRUE,"Elementary School"
"2018-2019",37,68403,6120893,"SAN DIEGO","SPENCER VALLEY ELEMENTARY","CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO","Elementary School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,493,"DIRECTLY FUNDED",TRUE,"K","12",2139,1008,47.1,1172,54.8,2100,993,47.3,1151,54.8,TRUE,"Elementary School"
"2018-2019",37,68411,0,"SAN DIEGO","SWEETWATER UNION HIGH","DISTRICT OFFICE","High School District",NA,NA,NA,NA,NA,NA,NA,"K","Adult",409,237,57.9,248,60.6,276,157,56.9,165,59.8,TRUE,NA
"2018-2019",37,68411,1,"SAN DIEGO","SWEETWATER UNION HIGH","NONPUBLIC, NONSECTARIAN SCHOOLS","High School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,25,25.3,26,26.3,65,19,29.2,20,30.8,TRUE,NA
"2018-2019",37,68411,111831,"SAN DIEGO","SWEETWATER UNION HIGH","OLYMPIAN HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2476,507,20.5,666,26.9,2423,490,20.2,642,26.5,TRUE,"High School"
"2018-2019",37,68411,115873,"SAN DIEGO","SWEETWATER UNION HIGH","EAST HILLS ACADEMY","High School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"7","12",73,38,52.1,50,68.5,49,24,49,32,65.3,TRUE,"Other"
"2018-2019",37,68411,126086,"SAN DIEGO","SWEETWATER UNION HIGH","HAWKING S.T.E.A.M. CHARTER","High School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1407,"DIRECTLY FUNDED",FALSE,"K","12",998,554,55.5,635,63.6,987,546,55.3,627,63.5,TRUE,"Elementary School"
"2018-2019",37,68411,3730124,"SAN DIEGO","SWEETWATER UNION HIGH","SOUTHWEST SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1775,1114,62.8,1344,75.7,1695,1062,62.7,1286,75.9,TRUE,"High School"
"2018-2019",37,68411,3730405,"SAN DIEGO","SWEETWATER UNION HIGH","BONITA VISTA SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2355,703,29.9,993,42.2,2275,657,28.9,933,41,TRUE,"High School"
"2018-2019",37,68411,3730801,"SAN DIEGO","SWEETWATER UNION HIGH","CASTLE PARK SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1675,1062,63.4,1308,78.1,1605,1025,63.9,1262,78.6,TRUE,"High School"
"2018-2019",37,68411,3730843,"SAN DIEGO","SWEETWATER UNION HIGH","EASTLAKE HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2908,528,18.2,652,22.4,2830,511,18.1,632,22.3,TRUE,"High School"
"2018-2019",37,68411,3731064,"SAN DIEGO","SWEETWATER UNION HIGH","CHULA VISTA SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2487,1547,62.2,1882,75.7,2392,1497,62.6,1823,76.2,TRUE,"High School"
"2018-2019",37,68411,3731155,"SAN DIEGO","SWEETWATER UNION HIGH","OPTIONS SECONDARY","High School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"7","12",111,74,66.7,87,78.4,108,71,65.7,84,77.8,TRUE,"Other"
"2018-2019",37,68411,3731304,"SAN DIEGO","SWEETWATER UNION HIGH","MAAC COMMUNITY CHARTER","High School District","High Schools (Public)","TRADITIONAL",NA,NA,303,"DIRECTLY FUNDED",FALSE,"9","12",201,120,59.7,137,68.2,108,69,63.9,77,71.3,TRUE,"High School"
"2018-2019",37,68411,3731460,"SAN DIEGO","SWEETWATER UNION HIGH","ALTA VISTA ACADEMY","High School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"7","12",24,24,100,24,100,21,21,100,21,100,TRUE,"Other"
"2018-2019",37,68411,3731502,"SAN DIEGO","SWEETWATER UNION HIGH","SAN YSIDRO HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2426,1595,65.7,1873,77.2,2267,1487,65.6,1756,77.5,TRUE,"High School"
"2018-2019",37,68411,3731627,"SAN DIEGO","SWEETWATER UNION HIGH","OTAY RANCH SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2372,609,25.7,797,33.6,2304,586,25.4,770,33.4,TRUE,"High School"
"2018-2019",37,68411,3732047,"SAN DIEGO","SWEETWATER UNION HIGH","PALOMAR HIGH","High School District","Continuation High Schools","CONTINUATION SCHOOL",NA,NA,NA,NA,FALSE,"7","12",265,192,72.5,216,81.5,175,129,73.7,146,83.4,TRUE,"Other"
"2018-2019",37,68411,3732849,"SAN DIEGO","SWEETWATER UNION HIGH","HILLTOP SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2089,1009,48.3,1300,62.2,2014,967,48,1253,62.2,TRUE,"High School"
"2018-2019",37,68411,3733953,"SAN DIEGO","SWEETWATER UNION HIGH","MAR VISTA SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1585,845,53.3,1046,66,1518,802,52.8,1000,65.9,TRUE,"High School"
"2018-2019",37,68411,3738226,"SAN DIEGO","SWEETWATER UNION HIGH","SWEETWATER HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2636,1793,68,2178,82.6,2530,1719,67.9,2090,82.6,TRUE,"High School"
"2018-2019",37,68411,3738234,"SAN DIEGO","SWEETWATER UNION HIGH","MONTGOMERY SENIOR HIGH","High School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1852,1029,55.6,1283,69.3,1801,995,55.2,1243,69,TRUE,"High School"
"2018-2019",37,68411,6059745,"SAN DIEGO","SWEETWATER UNION HIGH","BONITA VISTA MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",1180,369,31.3,500,42.4,1180,369,31.3,500,42.4,TRUE,"Middle School"
"2018-2019",37,68411,6059752,"SAN DIEGO","SWEETWATER UNION HIGH","CASTLE PARK MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",803,527,65.6,665,82.8,803,527,65.6,665,82.8,TRUE,"Middle School"
"2018-2019",37,68411,6059760,"SAN DIEGO","SWEETWATER UNION HIGH","CHULA VISTA MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",874,574,65.7,690,78.9,874,574,65.7,690,78.9,TRUE,"Middle School"
"2018-2019",37,68411,6059778,"SAN DIEGO","SWEETWATER UNION HIGH","GRANGER JUNIOR HIGH","High School District","Junior High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","9",954,602,63.1,727,76.2,954,602,63.1,727,76.2,TRUE,"Middle School"
"2018-2019",37,68411,6059786,"SAN DIEGO","SWEETWATER UNION HIGH","MAR VISTA ACADEMY","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",736,488,66.3,604,82.1,736,488,66.3,604,82.1,TRUE,"Middle School"
"2018-2019",37,68411,6059794,"SAN DIEGO","SWEETWATER UNION HIGH","NATIONAL CITY MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",840,623,74.2,764,91,840,623,74.2,764,91,TRUE,"Middle School"
"2018-2019",37,68411,6062004,"SAN DIEGO","SWEETWATER UNION HIGH","HILLTOP MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",1004,509,50.7,633,63,1004,509,50.7,633,63,TRUE,"Middle School"
"2018-2019",37,68411,6062012,"SAN DIEGO","SWEETWATER UNION HIGH","SOUTHWEST MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",691,507,73.4,593,85.8,691,507,73.4,593,85.8,TRUE,"Middle School"
"2018-2019",37,68411,6070890,"SAN DIEGO","SWEETWATER UNION HIGH","MONTGOMERY MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",893,538,60.2,678,75.9,893,538,60.2,678,75.9,TRUE,"Middle School"
"2018-2019",37,68411,6114276,"SAN DIEGO","SWEETWATER UNION HIGH","RANCHO DEL REY MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",1757,346,19.7,445,25.3,1757,346,19.7,445,25.3,TRUE,"Middle School"
"2018-2019",37,68411,6117154,"SAN DIEGO","SWEETWATER UNION HIGH","SWEETWATER COMMUNITY DAY","High School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"7","9",15,7,46.7,11,73.3,15,7,46.7,11,73.3,TRUE,"Other"
"2018-2019",37,68411,6120968,"SAN DIEGO","SWEETWATER UNION HIGH","EASTLAKE MIDDLE","High School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",1801,354,19.7,430,23.9,1801,354,19.7,430,23.9,TRUE,"Middle School"
"2018-2019",37,68437,6040562,"SAN DIEGO","VALLECITOS ELEMENTARY","VALLECITOS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",202,166,82.2,201,99.5,196,160,81.6,195,99.5,TRUE,"Elementary School"
"2018-2019",37,68452,1,"SAN DIEGO","VISTA UNIFIED","NONPUBLIC, NONSECTARIAN SCHOOLS","Unified School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,3,12.5,3,12.5,20,3,15,3,15,TRUE,NA
"2018-2019",37,68452,100925,"SAN DIEGO","VISTA UNIFIED","T.H.E LEADERSHIP ACADEMY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",683,347,50.8,441,64.6,673,343,51,437,64.9,TRUE,"Elementary School"
"2018-2019",37,68452,100933,"SAN DIEGO","VISTA UNIFIED","HANNALEI ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",556,421,75.7,500,89.9,546,415,76,492,90.1,TRUE,"Elementary School"
"2018-2019",37,68452,105882,"SAN DIEGO","VISTA UNIFIED","FOOTHILL OAK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",584,516,88.4,569,97.4,578,513,88.8,564,97.6,TRUE,"Elementary School"
"2018-2019",37,68452,106120,"SAN DIEGO","VISTA UNIFIED","SIATECH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,627,"DIRECTLY FUNDED",TRUE,"10","12",1137,948,83.4,981,86.3,350,300,85.7,308,88,TRUE,"High School"
"2018-2019",37,68452,111237,"SAN DIEGO","VISTA UNIFIED","MARYLAND ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",644,545,84.6,599,93,630,536,85.1,589,93.5,TRUE,"Elementary School"
"2018-2019",37,68452,114264,"SAN DIEGO","VISTA UNIFIED","NORTH COUNTY TRADE TECH HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,884,"DIRECTLY FUNDED",TRUE,"9","12",148,71,48,77,52,142,69,48.6,75,52.8,TRUE,"High School"
"2018-2019",37,68452,114637,"SAN DIEGO","VISTA UNIFIED","VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE, AND MATH","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"6","8",837,521,62.2,611,73,837,521,62.2,611,73,TRUE,"Middle School"
"2018-2019",37,68452,115451,"SAN DIEGO","VISTA UNIFIED","MAJOR GENERAL RAYMOND MURRAY HIGH","Unified School District","Continuation High Schools","CONTINUATION SCHOOL","CEP",NA,NA,NA,FALSE,"10","12",178,133,74.7,163,91.6,153,110,71.9,138,90.2,TRUE,"Other"
"2018-2019",37,68452,118430,"SAN DIEGO","VISTA UNIFIED","MISSION VISTA HIGH","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"9","12",1693,367,21.7,460,27.2,1667,362,21.7,455,27.3,TRUE,"Other"
"2018-2019",37,68452,124917,"SAN DIEGO","VISTA UNIFIED","GUAJOME LEARNING CENTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1351,"DIRECTLY FUNDED",TRUE,"K","12",79,34,43,35,44.3,77,34,44.2,35,45.5,TRUE,"Elementary School"
"2018-2019",37,68452,126300,"SAN DIEGO","VISTA UNIFIED","VISTA VISIONS ACADEMY","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"K","12",47,17,36.2,23,48.9,45,16,35.6,22,48.9,TRUE,"Other"
"2018-2019",37,68452,128223,"SAN DIEGO","VISTA UNIFIED","BELLA MENTE MONTESSORI ACADEMY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1515,"DIRECTLY FUNDED",TRUE,"K","8",662,218,32.9,253,38.2,646,217,33.6,250,38.7,TRUE,"Elementary School"
"2018-2019",37,68452,3730207,"SAN DIEGO","VISTA UNIFIED","VISTA ADULT TRANSITION CENTER","Unified School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"Adult","Adult",115,50,43.5,60,52.2,15,7,46.7,8,53.3,TRUE,"Other"
"2018-2019",37,68452,3730728,"SAN DIEGO","VISTA UNIFIED","RANCHO BUENA VISTA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2101,991,47.2,1180,56.2,2060,969,47,1157,56.2,TRUE,"High School"
"2018-2019",37,68452,3730942,"SAN DIEGO","VISTA UNIFIED","GUAJOME PARK ACADEMY CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,50,"DIRECTLY FUNDED",TRUE,"K","12",1416,683,48.2,817,57.7,1407,677,48.1,811,57.6,TRUE,"Elementary School"
"2018-2019",37,68452,3732039,"SAN DIEGO","VISTA UNIFIED","ALTA VISTA HIGH (CONTINUATION)","Unified School District","Continuation High Schools","CONTINUATION SCHOOL","CEP",NA,NA,NA,FALSE,"9","12",113,99,87.6,109,96.5,89,76,85.4,85,95.5,TRUE,"Other"
"2018-2019",37,68452,3738705,"SAN DIEGO","VISTA UNIFIED","VISTA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2360,1364,57.8,1557,66,2309,1331,57.6,1521,65.9,TRUE,"High School"
"2018-2019",37,68452,6040588,"SAN DIEGO","VISTA UNIFIED","BEAUMONT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",560,433,77.3,493,88,547,424,77.5,482,88.1,TRUE,"Elementary School"
"2018-2019",37,68452,6040596,"SAN DIEGO","VISTA UNIFIED","BOBIER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",659,569,86.3,619,93.9,645,558,86.5,608,94.3,TRUE,"Elementary School"
"2018-2019",37,68452,6040604,"SAN DIEGO","VISTA UNIFIED","CALIFORNIA AVENUE ELEMENTARY","Unified School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"K","8",28,8,28.6,10,35.7,28,8,28.6,10,35.7,TRUE,"Other"
"2018-2019",37,68452,6040620,"SAN DIEGO","VISTA UNIFIED","GRAPEVINE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",797,649,81.4,726,91.1,777,633,81.5,706,90.9,TRUE,"Elementary School"
"2018-2019",37,68452,6040638,"SAN DIEGO","VISTA UNIFIED","MONTE VISTA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",510,268,52.5,310,60.8,498,265,53.2,306,61.4,TRUE,"Elementary School"
"2018-2019",37,68452,6040653,"SAN DIEGO","VISTA UNIFIED","VISTA ACADEMY OF VISUAL AND PERFORMING ARTS","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",611,439,71.8,513,84,611,439,71.8,513,84,TRUE,"Elementary School"
"2018-2019",37,68452,6059802,"SAN DIEGO","VISTA UNIFIED","RANCHO MINERVA MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"6","8",717,565,78.8,600,83.7,717,565,78.8,600,83.7,TRUE,"Middle School"
"2018-2019",37,68452,6059810,"SAN DIEGO","VISTA UNIFIED","VISTA INNOVATION AND DESIGN ACADEMY","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",807,276,34.2,347,43,807,276,34.2,347,43,TRUE,"Middle School"
"2018-2019",37,68452,6069124,"SAN DIEGO","VISTA UNIFIED","CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",588,224,38.1,273,46.4,588,224,38.1,273,46.4,TRUE,"Elementary School"
"2018-2019",37,68452,6107031,"SAN DIEGO","VISTA UNIFIED","ALAMOSA PARK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",489,160,32.7,187,38.2,484,158,32.6,185,38.2,TRUE,"Elementary School"
"2018-2019",37,68452,6107577,"SAN DIEGO","VISTA UNIFIED","ROOSEVELT MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",998,562,56.3,650,65.1,998,562,56.3,650,65.1,TRUE,"Middle School"
"2018-2019",37,68452,6107585,"SAN DIEGO","VISTA UNIFIED","LAKE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",787,176,22.4,223,28.3,776,171,22,218,28.1,TRUE,"Elementary School"
"2018-2019",37,68452,6108708,"SAN DIEGO","VISTA UNIFIED","EMPRESA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",848,210,24.8,260,30.7,830,208,25.1,256,30.8,TRUE,"Elementary School"
"2018-2019",37,68452,6110399,"SAN DIEGO","VISTA UNIFIED","BREEZE HILL ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",811,405,49.9,470,58,793,399,50.3,463,58.4,TRUE,"Elementary School"
