site_id,sitename,address,city,state,zip,lat,lon,accuracy,bos_district,council_distict,councill_code,elementary_dist,hs_dist,unified_dist,state_assembly_dist,state_senate_dist,congressional_dist
443,GROSSMONT UNION HIGH SPECIAL EDUCATION PROGRAM,1100 Murray Drive,La Mesa,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,71,38,53
444,GROVE PARK,745 N. ASH ST,ESCONDIDO,CA,92026,33,-117,HIGH,3,1,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
445,GUAJOME LEARNING CENTER,2000 North Santa Fe Avenue,Vista,CA,92083,33,-117,HIGH,5,1,VS,,,UNIFIED VISTA,76,36,49
446,GUAJOME PARK ACADEMY CHARTER,2000 North Santa Fe Avenue,Vista,CA,92084,33,-117,HIGH,5,1,VS,,,UNIFIED VISTA,76,36,49
447,HAGE ELEMENTARY,9750 Galvin Avenue,San Diego,CA,92126,33,-117,HIGH,3,6,SD,,,UNIFIED SAN DIEGO,77,39,52
448,HALECREST ELEMENTARY,475 East J Street,Chula Vista,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,53
449,HALECREST YMCA,475 E. J STREET,CHULA VISTA,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,53
450,HAMILTON ELEMENTARY,2807 Fairmount Avenue,San Diego,CA,92105,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,80,40,51
451,HANCOCK ELEMENTARY,3303 TAUSSIG ST.,SAN DIEGO,CA,92124,33,-117,HIGH,3,7,SD,,,UNIFIED SAN DIEGO,79,39,52
452,HANNALEI ELEMENTARY,120 HANNALEI DR.,VISTA,CA,92083,33,-117,HIGH,5,,,,,UNIFIED VISTA,75,36,49
453,HANSON ELEMENTARY,2520 Boundary Avenue,Ramona,CA,92065,33,-117,HIGH,2,,,,,UNIFIED RAMONA,71,38,50
454,HARBOR SPRINGS CHARTER,1704 Cape Horn,Julian,CA,92036,33,-117,HIGH,2,,,GEN ELEM JULIAN UNION,HIGH JULIAN UNION,,71,38,50
455,HARBORSIDE ELEMENTARY,681 Naples Street,Chula Vista,CA,91911,33,-117,HIGH,1,4,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
456,HARDY ELEMENTARY,5420 Montezuma Road,San Diego,CA,92115,33,-117,HIGH,2,9,SD,,,UNIFIED SAN DIEGO,78,39,53
457,HARRIET TUBMAN VILLAGE CHARTER,6880 Mohawk Street,San Diego,CA,92115,33,-117,HIGH,2,9,SD,,,UNIFIED SAN DIEGO,79,39,53
458,HAWKING S.T.E.A.M. CHARTER,1355 Second Avenue,Chula Vista,CA,91911,33,-117,HIGH,1,4,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
459,HAWKING S.T.E.A.M. CHARTER SCHOOL 2,1411 27th Street,San Diego,CA,92154,33,-117,HIGH,1,8,SD,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,80,40,51
461,HAWTHORNE ELEMENTARY,4750 Lehrer Drive,San Diego,CA,92117,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
462,HEALTH SCIENCES HIGH,"3910 University Avenue, Suite 100",San Diego,CA,92105,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,80,40,51
463,HEALTH SCIENCES MIDDLE,"3910 University Avenue, Suite 100",San Diego,CA,92105,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,80,40,51
464,HEARST ELEMENTARY,6230 Del Cerro Boulevard,San Diego,CA,92120,33,-117,HIGH,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
465,HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,930 East Palomar,Chula Vista,CA,91913,33,-117,HIGH,1,3,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79,40,53
466,HELIX HIGH,7323 UNIVERSITY AVE.,LA MESA,CA,91941,33,-117,HIGH,2,,,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,79,38,53
467,HENRY HIGH,6702 Wandermere Drive,San Diego,CA,92120,33,-117,HIGH,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
468,HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,2255 East Valley Parkway,Escondido,CA,92027,33,-117,HIGH,3,3,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
469,HERITAGE ELEMENTARY,1450 Santa Lucia Road,Chula Vista,CA,91913,33,-117,HIGH,1,3,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79,40,53
470,HERITAGE K-8 CHARTER,1855 East Valley Parkway,Escondido,CA,92027,33,-117,HIGH,3,3,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
471,HICKMAN ELEMENTARY,10850 Montongo Street,San Diego,CA,92126,33,-117,HIGH,3,6,SD,,,UNIFIED SAN DIEGO,77,39,52
472,HIDDEN VALLEY MIDDLE,2700 Reed Road,Escondido,CA,92027,33,-117,HIGH,3,3,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
473,HIGH TECH ELEMENTARY,2150 Cushing Road,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
474,HIGH TECH ELEMENTARY CHULA VISTA,1949 Discovery Falls Drive,Chula Vista,CA,91915,33,-117,HIGH,1,3,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79,40,53
475,HIGH TECH ELEMENTARY EXPLORER,2230 Truxtun Road 1st Floor,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
476,HIGH TECH ELEMENTARY MESA,5331 Mount Alifan Drive Building 200,San Diego,CA,92111,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
477,HIGH TECH ELEMENTARY NORTH COUNTY,1480 West San Marcos Boulevard,San Marcos,CA,92078,33,-117,HIGH,5,3,SM,,,"UNIF BOND SAN MARCOS SFID #1-6/04/96, 2004-1 REF",75,38,50
478,HIGH TECH HIGH,2861 Womble Road,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
480,HIGH TECH HIGH CHULA VISTA,1945 Discovery Falls Drive,Chula Vista,CA,91915,33,-117,HIGH,1,3,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79,40,53
482,HIGH TECH HIGH INTERNATIONAL,2855 Farragut Road,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
483,HIGH TECH HIGH MEDIA ARTS,2230 Truxtun Road Third Floor,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
484,HIGH TECH HIGH MESA,5331 Mount Alifan,San Diego,CA,92111,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
485,HIGH TECH HIGH NORTH COUNTY,1420 San Marcos Boulevard,San Marcos,CA,92078,33,-117,HIGH,5,3,SM,,,"UNIF BOND SAN MARCOS SFID #1-6/04/96, 2004-1 REF",75,38,50
488,HIGH TECH MIDDLE,2359 Truxtun Road,San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
489,HIGH TECH MIDDLE CHULA VISTA,1949 Discovery Falls Drive,Chula Vista,CA,91915,33,-117,HIGH,1,3,CV,GEN ELEM CHULA VISTA,HIGH SWEETWATER UNION,,79,40,53
490,HIGH TECH MIDDLE MEDIA ARTS,"2230 Truxtun Road, 2nd Floor",San Diego,CA,92106,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
491,HIGH TECH MIDDLE MESA,5331 Mount Alifan Drive Building 400,San Diego,CA,92111,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
492,HIGH TECH MIDDLE NORTH COUNTY,1460 West San Marcos Boulevard,San Marcos,CA,92078,33,-117,HIGH,5,3,SM,,,"UNIF BOND SAN MARCOS SFID #1-6/04/96, 2004-1 REF",75,38,50
493,HIGHLAND RANCH ELEMENTARY,14840 Waverley Downs Way,San Diego,CA,92128,33,-117,HIGH,3,5,SD,,,UNIFIED POWAY,77,38,52
494,HIGHLANDS ELEMENTARY,3131 SOUTH BARCELONA ST.,SPRING VALLEY,CA,91977,33,-117,HIGH,2,,,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,71,38,53
495,HILL CREEK ELEMENTARY,9665 Jeremy Street,Santee,CA,92071,33,-117,HIGH,2,2,ST,GEN ELEM SANTEE,HIGH GROSSMONT UNION,,71,38,50
496,HILLSDALE MIDDLE,1301 Brabham Street,El Cajon,CA,92019,33,-117,HIGH,2,,,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
497,HILLSIDE JUNIOR/SENIOR HIGH,3305 Buckman Springs Road,Pine Valley,CA,91962,33,-116,HIGH,2,,,,,UNIFIED MT EMPIRE,71,40,51
498,HILLTOP DRIVE ELEMENTARY,30 MURRAY ST.,CHULA VISTA,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
499,HILLTOP MIDDLE,44 EAST J ST.,CHULA VISTA,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
500,HILLTOP SENIOR HIGH,555 CLAIRE AVE.,CHULA VISTA,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
501,HILTON HEAD COUNTY PARK,16005 HILTON HEAD RD,EL CAJON,CA,92019,33,-117,HIGH,2,,,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
502,HOLLY DRIVE LEADERSHIP ACADEMY,4801 Elm Street,San Diego,CA,92102,33,-117,HIGH,4,4,SD,,,UNIFIED SAN DIEGO,80,40,51
503,HOLLYWOOD PALMS APARTMENTS,4372 HOME AVENUE,SAN DIEGO,CA,92105,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,80,40,51
504,HOLMES ELEMENTARY,4902 Mount Ararat Drive,San Diego,CA,92111,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
506,HOME & HOSP/TRANSITION SUPPORT,"4100 Normal Street, Annex 14",San Diego,CA,92101,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,52
507,HOOVER HIGH,4474 EL CAJON BLVD.,SAN DIEGO,CA,92115,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,78,39,53
508,HOPE ELEMENTARY,3010 Tamarack Avenue,Carlsbad,CA,92010,33,-117,HIGH,5,2,CB,,,UNIFIED CARLSBAD,76,36,49
509,HOPE INFANT-TODDLER SPECIAL EDUCATION,6401 Linda Vista Road,San Diego,CA,92111,33,-117,HIGH,4,7,SD,,,UNIFIED SAN DIEGO,79,39,53
510,HORTON ELEMENTARY,5050 Guymon Street,San Diego,CA,92102,33,-117,HIGH,1,4,SD,,,UNIFIED SAN DIEGO,80,40,51
512,HOWARD GARDNER COMMUNITY CHARTER,647 E Street,Chula Vista,CA,91910,33,-117,HIGH,1,2,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
513,HOWARD PENCE ELEMENTARY,877 VIA TONGA CT.,SAN DIEGO,CA,92154,33,-117,HIGH,1,8,SD,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,80,40,51
514,HUDO COMMUNITY CENTER,4175 BONILLO DRIVE,SAN DIEGO,CA,92115,33,-117,HIGH,4,4,SD,,,UNIFIED SAN DIEGO,79,39,53
515,IBARRA ELEMENTARY,4877 Orange Avenue,San Diego,CA,92105,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,80,40,51
516,IDEA CENTER,1600 North Cuyamaca Street,El Cajon,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,53
517,IFTIN CHARTER,5465 El Cajon Boulevard,San Diego,CA,92115,33,-117,HIGH,4,9,SD,,,UNIFIED SAN DIEGO,79,39,53
518,IFTIN UNIVERSITY PREP HIGH,730 45th Street,San Diego,CA,92102,33,-117,HIGH,1,4,SD,,,UNIFIED SAN DIEGO,80,40,51
519,IGLESIA LATINA EMANUEL,152 E. 5TH AVE,ESCONDIDO,CA,92025,33,-117,HIGH,3,3,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
520,IHIGH VIRTUAL ACADEMY,3939 Conde Street,San Diego,CA,92110,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
521,IIPAY NATION OF SANTA YSABEL,100 SCHOOLHOUSE CANYON ROAD PO BOX 130,SANTA YSABEL,CA,92070,33,-117,HIGH,2,,,,,UNIFIED WARNER,71,38,50
522,IMPERIAL BEACH,847 ENCINA AVE.,IMPERIAL BEACH,CA,91932,33,-117,HIGH,1,,,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,78,40,51
523,IMPERIAL BEACH CHARTER,650 IMPERIAL BEACH BLVD.,IMPERIAL BEACH,CA,91932,33,-117,HIGH,1,,,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,78,40,51
525,INGENUITY CHARTER,6130 Skyline Drive,San Diego,CA,92114,33,-117,HIGH,4,4,SD,,,UNIFIED SAN DIEGO,79,40,51
526,INNOVATION MIDDLE,5095 Arvinels Avenue,San Diego,CA,92117,33,-117,HIGH,4,6,SD,,,UNIFIED SAN DIEGO,77,39,52
