site_id,sitename,district,is_school,school_code,district_code
1114,"SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATH ACADEMY AT LA PRESA",LA MESA-SPRING VALLEY,1,132431,68197
1115,SCRIPPS ELEMENTARY,SAN DIEGO UNIFIED,1,6119135,68338
1116,SCRIPPS RANCH HIGH,SAN DIEGO UNIFIED,1,3730884,68338
1117,SD GLOBAL VISION ACADEMY,SAN DIEGO UNIFIED,1,121681,68338
1118,SDCOE SUMMIT,,0,,
1119,SDSU UPWARD BOUND,,0,,
1120,SDSU UPWARD BOUND STAR,,0,,
1121,SECOND CHANCE INDEPENDENT STUDY,,,,
1122,SEQUOIA ELEMENTARY,SAN DIEGO UNIFIED,1,6040133,68338
1123,SERRA HIGH,SAN DIEGO UNIFIED,1,3730173,68338
1124,SERRA MESA PARK & REC,,0,,
1125,SESSIONS ELEMENTARY,SAN DIEGO UNIFIED,1,6040141,68338
1126,SEVICK SPECIAL EDUCATION,,0,,
1127,SHADOW HILLS ELEMENTARY,ALPINE UNION ELEMENTARY,1,6106256,67967
1128,SHERMAN ELEMENTARY,SAN DIEGO UNIFIED,1,6040158,68338
1129,SHERMAN HEIGHTS COMMUNITY CENTER,,0,,
1130,SHOAL CREEK ELEMENTARY,POWAY UNIFIED,1,6114854,68296
1131,SIATECH,VISTA UNIFIED,1,106120,68452
1132,SILVER GATE ELEMENTARY,SAN DIEGO UNIFIED,1,6040166,68338
1133,SILVER STRAND ELEMENTARY,CORONADO UNIFIED,1,6038087,68031
1134,SILVER WING ELEMENTARY,CHULA VISTA ELEMENTARY,1,6038004,68023
1135,SILVER WING RECREATION CENTER,,0,,
1136,SKYLINE ELEMENTARY,SOLANA BEACH ELEMENTARY,1,6040455,68387
1137,SKYLINE HILLS REC CENTER,,0,,
1138,SMYTHE ELEMENTARY,SAN YSIDRO ELEMENTARY,1,6085146,68379
1139,SOLANA HIGHLANDS ELEMENTARY,SOLANA BEACH ELEMENTARY,1,6106140,68387
1140,SOLANA PACIFIC ELEMENTARY,SOLANA BEACH ELEMENTARY,1,105825,68387
1141,SOLANA RANCH ELEMENTARY,SOLANA BEACH ELEMENTARY,1,129049,68387
1142,SOLANA SANTA FE ELEMENTARY,SOLANA BEACH ELEMENTARY,1,6111181,68387
1143,SOLANA VISTA ELEMENTARY,SOLANA BEACH ELEMENTARY,1,6070882,68387
1144,SORRENTO MESA LC - AUDEO CHARTER -ANNEX,,0,,
1145,SOUTH BAY COMMUNITY SCHOOL,,1,,
1146,SOUTH BAY COUNTY BLENDED COMM SCHOOL,,1,,
1147,SOUTH CLAIREMONT PARK & REC,,0,,
1148,SOUTH CREST REC CENTER,,0,,
1149,SOUTH OCEANSIDE ELEMENTARY,OCEANSIDE UNIFIED,1,6038921,73569
1150,SOUTH REGION COMMUNITY DAY SCHOOLS,,1,,
