"county","fnsreportdate","fnssubtype","programcode","ProgramGroupYear","sponsorname","sponsortype_a","sponsortype_b","mealgroupcode","mealtypecode","siteqty","daysservedqty","freeeligqty","redceligqty","paideligqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","avgdailymeals","academicyear"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",15,19,0,0,747,12794,0,0,12794,678.26,"2013-2014"
"SAN DIEGO",2014-03-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",2,1,0,0,95,92,0,0,92,92,"2013-2014"
"SAN DIEGO",2014-03-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",7,1,0,0,580,567,0,0,567,567,"2013-2014"
"SAN DIEGO",2014-03-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",3,1,0,0,230,214,0,0,214,214,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,6,0,0,637,686,0,0,686,114.33,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,6,0,0,637,1026,0,0,1026,171,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,11,0,0,123,1239,0,0,1239,112.64,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",10,11,0,0,716,6234,0,0,6234,566.73,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",9,11,0,0,507,4753,0,0,4753,438.05,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,3,0,0,28,78,0,0,78,26,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",5,3,0,0,150,354,0,0,354,118,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"CHULA VISTA ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",3,3,0,0,78,198,0,0,198,66,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"CAJON VALLEY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",11,6,0,0,11236,11236,0,0,11236,1872.67,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"CAJON VALLEY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",3,6,0,0,1495,1495,0,0,1495,249.17,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",1,4,0,0,88,352,0,0,352,88,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,4,0,0,78,311,0,0,311,77.75,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",2,5,0,0,166,829,0,0,829,165.8,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO COUNTY OFFICE OF EDUCATION","SCHOOL","PUBLIC","SSFO_DINNER","SSFO_SUPPER",2,5,0,0,166,663,0,0,663,132.6,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"ESCONDIDO UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,1,0,0,117,117,0,0,117,117,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"JULIAN UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,12,0,0,323,323,0,0,323,26.92,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",1,11,0,0,60,291,0,0,291,26.45,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",8,11,0,0,865,6341,0,0,6341,595.77,"2013-2014"
"SAN DIEGO",2014-06-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",6,11,0,0,648,4474,0,0,4474,406.73,"2013-2014"
