siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4301,2018-07-01,2018,RAMONA BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,634
4301,2018-07-01,2018,RAMONA BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,775
4305,2018-07-01,2018,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1873
4305,2018-07-01,2018,RON ROBERTS BRANCH (FORMERLY LINDA VISTA BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,2127
4309,2018-07-01,2018,SULPIZIO FAMILY BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1924
4309,2018-07-01,2018,SULPIZIO FAMILY BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,2602
4313,2018-07-01,2018,WILLIAM J OAKES BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1008
4313,2018-07-01,2018,WILLIAM J OAKES BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,2141
4385,2018-07-01,2018,BORREGO SPRINGS BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,404
4389,2018-07-01,2018,BOYS AND GIRLS CLUB SAN MARCOS,FEEDING AMERICA SAN DIEGO,180,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,5815
4393,2018-07-01,2018,CASA DE SALUD YOUTH CENTER,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,155
4393,2018-07-01,2018,CASA DE SALUD YOUTH CENTER,FEEDING AMERICA SAN DIEGO,180,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,154
4401,2018-07-01,2018,IIPAY NATION OF SANTA YSABEL,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,309
